FSC-H,SSC-H,FITC-H,PI-H,PerCP-H,APC-H,FSC-A,SSC-A,FITC-A,PI-A,PerCP-A,APC-A,Width,Time
1247208,2030282,12820,640862,2511084,3598,687130,998544,21331,1083813,4271568,-2972,75,391.800
875857,1689061,14654,764414,2941168,5850,607091,958991,26313,1193797,4631365,17008,83,391.800
984748,1747793,19336,1124074,4294032,7633,608091,1008351,33861,1896992,7280997,10580,85,391.800
479487,782261,9769,620494,2341734,3633,268104,432131,16459,1024960,3896971,-1260,69,391.800
973142,2659997,13479,630601,2472837,5194,607332,1505632,24576,1054694,4159502,8527,83,391.800
821881,1789731,13160,819580,3173879,4263,577363,1043755,23816,1284212,4963958,-884,82,391.800
789130,1184205,9691,673827,2610590,3290,430356,604008,15715,954279,3716961,-11815,76,391.800
1021472,2116483,16160,1050881,4054191,8862,640381,1260866,30513,1865121,7246686,25244,86,391.800
793152,1600364,10770,685862,2582761,5595,394190,771728,18884,1038432,3933934,8694,76,396.800
892333,2463991,14693,742298,2849069,1105,584868,1409393,25876,1100638,4290485,-19803,81,396.800
666983,1912999,13885,779672,3014503,5877,425483,971173,28325,1670261,6490335,1229,76,396.800
471584,1116702,10456,651393,2505054,1466,268815,568129,16279,949739,3655611,-13208,73,396.800
864345,1713235,14934,921442,3513610,5748,604612,1033128,31000,1810998,6973639,13580,93,396.800
956874,1628839,12162,720525,2797571,2911,609266,905329,22259,1081161,4238624,-2569,82,396.800
817650,1806518,12764,612486,2379484,676,421145,877000,21900,1014570,3974466,-177,72,396.800
1159130,1760764,13549,688490,2652440,3750,695161,894370,21307,1028833,3972164,-1260,74,396.800
2736511,8306801,47480,2506147,9450477,18406,2629667,7906036,132775,5845323,2.258098E+07,57654,122,396.800
1685739,2416584,13861,743464,2838125,7253,790476,1218022,24356,1019424,3953632,9185,76,396.800
364107,1114780,11140,660213,2533034,7182,204724,550690,17933,985186,3816844,17230,66,396.800
1180432,2525240,16606,578585,2243962,7084,781238,1398266,32545,1137431,4436767,14948,84,396.800
806018,1630943,11884,724449,2797564,10362,412969,868467,20271,1076642,4200590,24721,70,396.800
529762,1447237,11638,658165,2509216,1350,301855,672254,18320,995822,3820908,-11144,69,396.800
917596,2009497,15214,764311,2917335,6979,570570,945175,21967,1016096,3948923,23006,81,401.800
525002,1531224,12418,700086,2730728,5946,318010,750905,19091,1050721,4131874,2913,72,401.800
984567,1678396,16775,1157343,4452516,8002,640129,992087,31165,1918392,7407279,13065,83,401.800
850028,2047062,18450,1178112,4523985,7467,553205,1068684,36119,2007023,7739190,9566,80,401.800
377587,1444879,10375,660640,2563025,6283,241147,836417,19941,1084187,4253777,13337,76,401.800
1802963,3139947,20454,1098072,4205936,4895,1060508,1724489,43166,1995423,7665931,509,88,401.800
893398,2641577,21096,1341923,5214910,7291,670153,1706826,53467,3500096,1.365569E+07,11785,91,401.800
1585888,2524333,20153,928202,3559237,6587,1143601,1730746,41088,1459278,5661619,4603,96,401.800
802771,2739617,16675,949736,3697034,3181,576719,1802229,39742,2077016,8106489,-17487,93,406.800
627297,1947807,13058,605445,2347853,2037,363596,977791,22079,991545,3860148,-6095,78,406.800
1001737,2566344,18949,1085762,4193658,11370,587712,1503712,37042,1990577,7728611,38791,86,406.800
1118409,1457299,15873,957825,3694978,7743,577035,858386,32069,1924725,7480123,20244,113,406.800
644448,1843080,14101,805207,3096753,16025,418775,1010463,25492,1265425,4905587,35043,73,406.800
824631,2291988,15193,947779,3643872,5473,588126,1424299,34257,2029529,7854053,-3071,91,406.800
499589,1566187,11680,631564,2414555,8396,297677,761391,19585,1008566,3879903,24943,78,406.800
714221,1559665,11814,626975,2422994,1648,425230,797620,20565,981597,3837287,-6952,78,406.800
639966,1338297,11239,708390,2725449,7049,391364,675910,18169,1010870,3914369,12922,74,406.800
842347,2150664,17397,1011520,3884656,5930,730194,1582374,37464,1856710,7217131,12217,96,406.800
814217,1452193,13976,768252,2963546,11204,519178,762926,21533,989722,3837196,35826,76,406.800
1684487,2209697,22932,1095417,4264927,9649,843870,1128271,42423,1730526,6763332,26867,87,406.800
1175137,2051630,15629,666517,2598247,3514,675892,1112734,26502,1086911,4274637,2698,81,406.800
868977,2067351,13650,745265,2838128,2322,569809,1018147,21710,1060029,4063812,-5888,81,411.800
774739,2129803,12651,745457,2877136,4668,516511,1038114,20230,1043273,4076749,7219,77,411.800
402811,1589336,9698,551809,2125231,2708,224072,853396,17849,1016359,3924637,-2161,79,411.800
672085,2266137,17191,1096914,4182495,8271,533445,1390491,31780,2069726,7965326,14846,89,411.800
761162,1970248,13603,699910,2689919,2322,398030,994367,20535,1059733,4120333,642,78,411.800
822040,1673102,15481,987749,3811755,8416,653757,1035370,29568,1669876,6507551,18179,87,411.800
1053902,3157020,17880,843999,3236279,12031,810193,2288747,41761,2003726,7785882,30241,96,411.800
585688,1299424,11971,709516,2738605,1879,297736,650782,18911,977987,3817366,-15553,70,411.800
322425,160438,1340,5624,23411,3989,95225,36098,1125,6812,29139,6160,42,411.800
1259144,2101459,13570,657745,2521029,3624,663137,1103744,25302,1093221,4247070,-1842,79,411.800
981247,2068787,14604,839535,3261544,4553,566839,1036234,24577,1283610,5026265,3041,82,411.800
432909,1265981,3599,30239,145500,3895,188728,529372,5578,48417,235435,8789,67,411.800
593897,1590351,10453,654520,2523803,2256,543909,1361874,34089,1951619,7524136,-10283,106,411.800
1942391,7624002,38082,1516584,5857481,12692,3122507,1.161391E+07,219350,7869903,3.089081E+07,59532,169,411.800
638270,1945212,17419,1094481,4149504,3925,493012,1168196,35473,2067246,7953862,-7651,79,416.800
518741,1542560,13248,713210,2730240,-356,387769,842381,28493,1485491,5715222,-436,80,416.800
1045474,1906705,14143,686390,2620694,5702,955312,1822431,47155,2090022,8089672,15551,112,416.800
1706135,4148621,24385,1009201,3953866,5289,1168079,2427738,50334,2059800,8127391,-5185,88,416.800
766107,2091107,13366,648305,2539721,51956,412613,1058629,22262,1073249,4222405,66906,71,416.800
866427,2104367,18263,1097584,4259420,9282,535998,1185420,34612,1816057,7071225,18822,81,416.800
1756912,2191466,15303,727844,2836823,2862,867952,1097490,25927,1075949,4213749,-4992,80,416.800
827146,2162670,18435,1144461,4438521,4620,584176,1258747,35636,2013076,7816642,-11006,80,416.800
657921,2219540,13273,711826,2750923,3398,411951,1180868,25707,1182003,4615776,-9142,82,416.800
1612260,4599071,30600,1620085,6223904,9402,1315307,3254954,79519,3718734,1.443357E+07,13248,108,416.800
758787,1957461,14704,833227,3208444,6695,464254,1004495,26268,1266603,4945240,15084,82,416.800
739904,2322691,13661,594189,2320400,7402,435948,1149362,22598,1037551,4073275,19409,81,416.800
593931,1686735,12197,695832,2694339,1848,323723,840226,17905,1019318,3962889,-14463,72,421.800
819809,1974640,11223,710422,2715854,1714,419840,946519,16984,1062819,4100280,-12509,72,421.800
621723,1899406,12461,727369,2788009,8198,394064,1033422,25286,1496528,5838411,29964,83,421.800
727273,1382099,12160,768924,2950045,4212,495777,735325,18860,1125647,4350168,7464,76,421.800
1954440,3348966,24383,1558909,5990728,13744,1781839,2647363,67865,3687823,1.44139E+07,45840,109,421.800
1331509,3538966,31098,1756575,6740875,14279,1357475,2934325,81837,3992215,1.544241E+07,24389,112,421.800
4090092,7944830,39893,2039633,7883202,15589,3613748,8206694,109856,4263968,1.68347E+07,22694,123,421.800
989061,2097515,20402,1192715,4570602,6284,723771,1218824,38573,1962423,7597837,859,82,421.800
363322,1301283,8959,15649,79913,3650,263560,782794,17378,38309,193099,12562,73,421.800
336308,658160,7177,533615,2052981,30133,221673,344582,14358,1007896,3899949,28559,68,421.800
965179,1915051,13663,825591,3195789,6373,546823,960387,21660,1148695,4488796,15230,69,421.800
587420,1502606,12534,840643,3246169,6512,418350,837455,25479,1640748,6386842,14292,77,421.800
420145,1238430,8228,569123,2195174,6371,239679,595978,14282,959653,3727047,13960,62,421.800
555053,1450713,11413,654329,2532439,13999,340349,680028,19042,1056505,4098031,11142,72,421.800
1127386,1910654,14198,755898,2947226,2214,616947,876559,22186,1048681,4121768,-10152,74,421.800
831151,1491319,11195,569814,2227036,2214,504821,758310,21162,1039463,4079068,436,80,426.800
1014931,1859206,16579,847358,3283943,11478,540209,981347,31660,1496261,5823680,40559,76,426.800
743464,1052433,13992,1124486,4260551,6009,415973,570909,30855,2376010,9022652,9887,74,426.800
1131515,2346384,17751,1018824,3941312,7243,699684,1328695,35081,1933069,7516684,11774,78,426.800
659099,1652821,13441,745152,2892159,2171,379527,868220,22420,1079922,4211937,-17830,80,426.800
1060915,1898962,20947,1173983,4543081,5065,548949,982665,37142,2025596,7902058,-10755,79,426.800
614263,1171779,10439,551222,2123697,2488,352703,586805,18422,975584,3793266,-4814,78,426.800
736310,1612378,11821,614604,2351477,5595,411716,762165,21338,1092186,4199323,9950,77,426.800
721533,1505421,11199,682014,2618919,3040,366133,824014,19613,1030400,4019297,-3494,80,426.800
580244,1458329,11587,655383,2541418,4922,361238,700878,19568,1027549,4001755,12827,72,426.800
837556,2799668,18066,1096627,4255092,7288,525277,1573557,39908,2145465,8368595,15017,81,426.800
1388295,3052385,24126,1510459,5823083,2516475,1069599,2890747,65146,3097051,1.210731E+07,3360878,107,426.800
1292495,2633953,23490,1310532,5043334,5898,786568,1581913,43309,2188239,8524124,-1246,86,426.800
266245,472589,1175,33357,130836,2484,88964,145329,1159,38233,151009,298,45,426.800
618590,1615352,11775,717953,2785339,4711,382648,739294,18814,995049,3884749,3968,77,426.800
1948709,7016128,41307,2750012,1.043438E+07,19142,1991940,6217785,137874,6944689,2.682584E+07,44872,130,426.800
899412,1869162,14952,623445,2455497,8829,507377,847028,24436,1058823,4161798,19419,70,431.800
608476,1763290,17006,1136184,4318080,6524,448797,1097457,34346,2052002,7885737,9895,76,431.800
350659,1016457,8790,624312,2421023,109148,226192,504735,15226,1031369,4001282,121114,70,431.800
811925,1559645,13241,734319,2812567,2484,553811,797710,20758,1089765,4202967,189,83,431.800
1587000,3270758,18804,1024761,3958122,7135,1072069,1928048,33646,1613625,6311199,12364,93,431.800
1152388,3784236,25733,1433127,5530961,11471,950660,2737457,67321,3829870,1.482291E+07,39976,105,431.800
1037822,2725452,19341,954262,3712453,8895,784569,2027613,65056,1967313,7737783,35163,121,436.800
1518408,3217767,20426,898958,3494305,3839,968896,1900404,43788,2063065,8043990,-3787,89,436.800
927743,2211792,14095,654790,2528888,3434,623818,1176643,24344,1086940,4259634,-5397,85,436.800
1869212,3078050,22350,1142958,4331953,6943,1035281,1823680,45911,2199831,8405899,3818,89,436.800
875437,1520599,11573,714193,2774507,9012,464639,776182,18928,1043533,4091042,22476,79,436.800
877218,1969343,16263,977199,3765048,7712,571456,1172503,32766,1773566,6844015,17978,88,436.800
898430,2568135,14022,606927,2372059,8127,543862,1207654,26212,1066059,4196544,26729,76,436.800
586269,1520697,12458,749997,2871426,3699,375171,800450,20128,1051924,4052371,3466,78,436.800
586941,1121253,8791,610045,2354883,5327,259706,562857,16101,989903,3819007,10771,72,436.800
707426,1403637,13753,827930,3164128,7291,511517,1090392,35286,2057488,7927328,27477,101,441.800
321888,1020411,2228,18304,89550,3434,144149,385755,2925,26983,135802,-365,62,441.800
1039768,1686409,14258,651660,2523074,2804,547639,912485,25194,1026983,3973997,-13979,72,441.800
834139,1963910,13184,644129,2486758,3313,476968,952795,22432,1056121,4099740,-4632,71,441.800
280448,275194,997,7128,34751,3348,93069,71954,1071,8953,43213,9112,40,441.800
634315,1616988,9899,604591,2369815,5565,384330,784306,18490,1035998,4069893,4760,76,441.800
777640,1497008,10852,609775,2310536,5044,453573,796743,19591,1010883,3871853,6975,83,441.800
1681254,2222584,20600,1235795,4693391,7854,955946,1213178,36560,1971665,7557083,1461,83,441.800
1215522,3270361,17657,809679,3164032,7630,1343550,3019088,69609,3371692,1.325341E+07,26935,156,441.800
1034112,2108356,14710,1060640,4067146,11647,557640,1171662,30796,1891581,7265569,42930,90,441.800
812057,2716798,19230,1003739,3910300,9323,675752,1714181,42998,2210486,8634354,16106,90,441.800
528341,1423905,11542,676327,2583029,4887,323492,741621,20518,1055405,4070508,13395,77,446.800
610005,1528462,10590,725825,2780839,5964,419002,830180,17023,950064,3667054,11164,80,446.800
731311,1870045,12030,576285,2237788,3251,424277,876575,20900,1043181,4040753,-6500,71,446.800
1024146,1530891,16251,1037540,3981458,6863,549806,788814,31375,1808889,7018579,7439,83,446.800
470745,1587923,12060,679997,2625406,3248,311544,824690,19159,1056999,4100174,1930,79,446.800
810166,1727899,16032,1013698,3839828,4871,484700,1080128,34302,1855513,7079661,1304,90,446.800
882693,1629728,14572,951219,3646530,3176,554518,939281,24172,1443897,5575087,-2233,83,446.800
780851,2244424,13471,607467,2390637,2421,904294,2348457,50508,2120261,8331460,-7216,150,446.800
1296187,2836774,13031,604262,2302456,8247,844600,1587913,28127,1136723,4382373,29583,86,446.800
545395,1357027,13021,663644,2567164,78972,296691,621027,21060,1033466,4006804,39324,64,446.800
897814,1792953,11225,685386,2669961,7170,524609,885276,19525,1064583,4168909,14191,74,451.800
741439,1822697,12580,747160,2851764,4358,430716,1034242,21794,1184539,4524326,1078,82,451.800
455704,1885047,11521,649492,2507127,4908,315509,1022339,21632,1056614,4128168,8335,79,451.800
1064480,2593265,17285,852538,3309230,8423,734484,1499434,32236,1665366,6478012,27386,92,451.800
1005135,2471024,17486,889725,3478619,5954,657542,1336234,34810,1857853,7281871,8613,83,451.800
897581,1928973,20205,1323230,4993360,7453,578917,1108429,33886,1933984,7379571,475,86,451.800
633961,1976407,10838,556248,2158804,1803,492639,1154292,21116,944611,3692055,-7104,83,451.800
494777,563624,10120,783061,2999080,8432,326399,478832,28551,1892588,7326908,19644,93,451.800
973982,1903295,14241,689446,2599684,4512,623747,1081240,26619,1058223,4058522,8702,79,451.800
315825,218494,1073,3017,12071,406,88348,50614,1383,2993,9397,-167,38,451.800
689996,1359421,12314,682162,2612966,6960,358068,665932,19252,1029376,3978861,19295,75,451.800
812565,2091198,12429,779938,2965863,3488,533027,1007249,21362,1065914,4122592,-3495,79,451.800
647641,2326765,15778,963543,3650161,1792,409298,1227443,26896,1339627,5112134,-9781,86,456.800
213079,96827,68,626,3676,2840,59868,26276,-5,1048,6789,5963,42,456.800
647390,1379827,10575,589677,2287848,5363,359236,674149,18766,977599,3829120,14262,79,456.800
836869,2146753,17913,1269478,4911514,6035,626204,1384187,31603,2017205,7865581,4240,89,456.800
445714,1679657,11128,618842,2387220,4097,312884,954413,19834,938332,3665271,-821,82,456.800
1014853,2399758,19507,1196639,4602962,3810,703242,1483041,35036,1973831,7663681,-8073,89,456.800
1348942,1578768,11727,720630,2803874,10172,1034376,1509921,37123,1917878,7475288,38684,123,456.800
875464,2681421,11577,715243,2744557,4792,569604,1341249,21643,1074796,4187721,10121,85,456.800
997175,1710849,16087,934702,3593883,9947,567970,896525,33038,1919920,7412567,31103,83,456.800
864980,2053536,13037,553580,2140120,5332,549004,1127243,23626,1018469,3964249,17784,82,461.800
649466,1671135,12760,678717,2613908,6247,401524,778173,21753,1009462,3923069,17964,77,461.800
990200,2173159,14496,728711,2788055,3142,737412,1230932,24710,1053327,4104943,2564,88,461.800
824607,1495072,11573,715372,2718433,5416,460441,736529,17107,1008564,3841312,20343,71,461.800
231876,70177,803,3532,12096,5983,67211,8385,700,2922,9093,13752,37,461.800
556836,1223572,10982,598377,2305880,6829,371075,626525,19112,1011453,3901850,15529,77,461.800
661920,1490023,12427,695154,2673894,4830,413543,704679,18584,967322,3769351,6163,77,461.800
1075911,1930493,18708,955765,3653420,6934,510473,977481,32252,1649854,6354753,17446,85,466.800
657896,1551445,12177,705971,2719130,4559,427128,823457,22847,1273772,4887926,2746,81,466.800
716115,2128396,13203,659197,2526956,6262,415038,1098427,21656,1094717,4219611,15773,77,466.800
793625,1883655,13993,778290,2981369,3522,499500,960040,22231,1090187,4190239,-4378,77,466.800
864511,2036550,11432,622628,2406212,7924,582230,1137901,21200,1010911,3955828,25334,82,466.800
700759,1961068,12184,577580,2204064,6477,431808,1020249,21893,1057089,4072634,17592,81,466.800
797157,2264483,11936,589981,2306729,3920,474224,1188365,22807,1074575,4228710,-774,80,466.800
846551,1889662,13902,662908,2557531,7200,524707,945161,23477,1052381,4093174,25565,75,466.800
722376,1542589,10660,648804,2500476,1891,344707,707910,16531,987257,3818038,-9795,74,466.800
1204717,2780154,14109,644155,2450726,2821,794964,1449403,25412,1074734,4122443,-8559,86,466.800
798383,2155682,20336,1246373,4843824,9381,530187,1343306,33212,1961153,7642023,9088,83,466.800
737266,1850875,23072,711473,2714528,381837,557093,878389,42624,997339,3852133,158665,76,466.800
1326988,2425674,19297,1175172,4414365,5437,690680,1311695,34427,1930472,7373166,-11291,82,466.800
856512,1470193,11146,679464,2581816,28179,416929,666882,19447,1045762,4018318,17385,67,466.800
591778,1705774,11662,666763,2561282,7119,572509,1753407,36965,2100169,8162746,27878,118,466.800
1518091,2598096,17963,1078395,4106741,3940,853355,1473249,34372,1724313,6605214,-5347,92,471.800
1089515,2145393,18404,1159667,4526280,6046,761212,1194668,36709,2017100,7874771,10450,80,471.800
663932,2246712,19218,1181483,4538749,10166,754749,1980308,51600,2886809,1.121082E+07,33163,116,471.800
1049260,2202136,20323,1044206,4025685,4852,755229,1266256,42249,2006712,7796092,-289,82,471.800
944882,1769443,11846,641943,2475215,7276,499296,781138,19094,1040564,4009727,17094,71,471.800
882713,1421385,12632,702098,2736871,7188,424449,675371,19750,1010158,3958221,18186,73,471.800
684919,1692218,12031,674597,2607447,3940,341937,822488,19965,1048534,4057237,849,77,471.800
1048493,1946540,13133,677621,2647792,154261,601183,1018082,22026,1063213,4167088,103741,81,471.800
1501203,4194284,24142,1024028,3913522,6451,1080767,2809679,54492,2087286,8040029,5361,95,471.800
807249,1893540,12570,685390,2604703,3406,503776,954323,21566,1040951,4027393,-9963,82,471.800
526656,1419568,9722,602838,2343289,8403,340397,705742,17065,971308,3813721,33013,79,476.800
1439690,3486671,16812,709346,2729285,6290,1046648,2176814,34563,1159871,4542236,4488,91,476.800
186844,221050,634,16888,74706,4221,63047,72564,562,19560,94304,9130,42,476.800
769425,2224715,12976,733333,2819821,3492,462332,1146511,25474,1102927,4313533,7845,80,476.800
504500,1632646,11444,734347,2838609,3767,303610,797001,16529,1001836,3898961,766,73,476.800
907023,1644793,11997,699638,2727394,3406,556220,841016,19886,1002985,3935557,0,77,476.800
1167262,2991151,20827,1236077,4739607,4305,800605,1878084,38139,1941157,7514538,-19805,86,476.800
1072910,3374987,19689,1033064,3962484,5382,673223,2132034,48878,2143458,8374270,-12344,99,476.800
948232,2020496,17788,1073060,4090835,4129,572148,1131044,31850,1785905,6853587,-13605,81,476.800
428173,1499750,9855,681478,2630693,3010,247743,759465,17757,1027689,3987721,-9063,71,476.800
679645,2063956,14073,824121,3127867,5131,476307,1157804,24719,1211047,4659089,-2848,80,476.800
1239297,2645432,13934,612397,2382995,18326,926952,1515148,29538,942042,3734684,6508,85,476.800
499853,1866466,14520,814588,3139743,9475,361335,1021529,29695,1728574,6671553,28700,77,476.800
562792,1621718,4037,28903,140791,3010,267026,718881,6398,49572,243743,-414,69,476.800
909469,1892170,11926,728734,2812101,7164,572737,955066,22597,1016368,3981843,16952,80,476.800
1262902,2027452,15976,984912,3800660,7319,728326,926195,29590,1679255,6448936,13557,78,476.800
479387,1570237,12404,695337,2657972,2971,299247,771061,19913,995978,3827496,-4312,73,476.800
1122750,3607144,29259,1576132,6013948,8748,1023148,2514754,72936,3806233,1.455681E+07,11052,99,476.800
700346,2261956,13403,617379,2420213,7759,396685,1102793,22676,1086539,4305409,19593,70,476.800
780761,1834474,11408,730715,2792885,1699,446573,1022887,19314,1052352,4065295,-8916,81,481.800
2126880,5287581,31539,1575103,6040326,10706,1879666,4440038,85303,4002503,1.546953E+07,22453,121,481.800
578928,1819890,20612,1353867,5206626,9395,412703,975423,36193,2070491,8033768,18728,70,481.800
817212,3107956,20453,1086754,4145014,4995,556936,1967216,38402,2100670,8089684,3363,94,481.800
303797,639201,1872,11105,58073,1123,200624,374022,3680,32429,170944,-15264,91,481.800
188765,114164,931,7686,40573,672465,44213,13308,1088,11594,66688,368775,27,481.800
855660,2340963,15636,773682,2999221,3655,510253,1258977,31564,1634469,6339569,-7099,80,481.800
569504,1480549,11765,630024,2468434,1004,335448,735181,19465,1039550,4091422,-197,69,481.800
842044,1838277,16718,1115656,4241527,20567,487209,1179628,35918,1988945,7670428,-5235,80,481.800
851962,1896904,12274,637303,2436363,7748,553804,971790,21618,1042410,4038889,26214,71,481.800
1826653,2495520,14768,671668,2589495,1748,814760,1179668,28463,1073403,4170096,-12325,71,481.800
729143,1783269,12373,762447,2971965,6501,427205,972477,21597,1170640,4577217,21607,85,481.800
1025989,1771834,14249,915118,3488788,279,615886,1026632,24824,1369041,5245053,-476,84,486.800
924504,2316809,14588,699155,2694447,4759,573268,1176525,22122,1024367,3972925,3122,82,486.800
862869,2525563,13844,686228,2650047,5493,540692,1431251,27434,1335739,5227492,7102,80,486.800
828515,1954360,14479,778403,2966765,86489,478502,1021464,22552,1154152,4423877,40959,73,486.800
889840,1974530,13697,676446,2608004,5690,438089,853040,22728,1062711,4119292,985,68,486.800
199194,72251,644,1619,7161,923,57518,17654,1089,2028,11424,1461,42,486.800
1165894,2323463,12186,615563,2368056,7294,706069,1156432,21975,965765,3742900,23182,82,486.800
1003674,1747771,13879,700882,2678500,8809,596802,831398,23543,1090441,4194468,12148,75,486.800
699678,1953993,17174,1049588,4033340,9961,524945,1031610,29837,1633599,6326313,6635,83,486.800
1703221,4261586,33459,1546766,5959285,10030,1427905,3016993,84498,3812933,1.478215E+07,13239,101,486.800
1057717,3081929,17602,995129,3807680,6180,870950,2228346,40201,2040169,7877080,16614,92,486.800
1851001,5374709,30325,1275395,4861598,7092,1571379,3348715,61314,2756333,1.057493E+07,13130,93,486.800
1217149,2286868,12633,794159,3055523,3586,709665,1214827,23584,1228326,4803247,-3975,78,486.800
886210,2638840,17858,1007348,3899547,6407,620754,1536105,34315,1716968,6707612,2034,76,486.800
591055,1730742,11154,539488,2079413,4551,324578,833833,21435,1090545,4214862,11060,75,486.800
998425,1948728,13781,705995,2775071,3411,646598,1063565,25039,1108167,4361797,3584,83,486.800
660685,1556235,13217,681927,2585578,4206,365398,733016,20918,989961,3795082,-1389,79,486.800
764259,1933104,14878,1069966,4082449,4066,517160,942878,27918,1551754,6001446,-3340,79,486.800
1676128,2434328,16279,702452,2737702,7017,785868,1167431,30236,1001985,3948268,15753,80,486.800
1576126,2503835,13839,697077,2708498,4364,829215,1279940,24900,1065655,4177779,-2058,76,486.800
326146,1252118,8822,597055,2297508,1960,228930,658652,17396,1035649,4006566,-870,90,491.800
1102532,3055821,15482,910475,3502344,5632,816676,2579648,41749,2449196,9504972,1428,105,491.800
1917651,6531505,22028,1015852,3886180,7078,1626731,5152283,65369,2214602,8557340,9154,111,491.800
1009510,3613205,18882,958101,3718801,10861,781885,2368941,43287,2172285,8479720,37228,95,491.800
776659,2129114,17996,883310,3395048,7638,570943,1189085,38586,2014385,7737921,24124,78,491.800
1900303,2902349,21221,1237550,4712590,8622,1094797,1768539,42184,2163971,8328678,12999,85,491.800
418843,1679717,9121,633595,2435178,1492,288077,919119,16463,1028604,4014426,-12292,77,491.800
734285,2134388,15581,1128476,4274967,5738,509864,1252119,32512,1859738,7095241,10509,91,491.800
897075,1878818,17679,1163075,4510166,13087,584633,984027,30037,1857720,7215243,37709,78,491.800
2124420,2745560,16212,732612,2791577,9052,900666,1278486,31692,1117231,4321824,28200,81,491.800
1281239,3043378,16043,805602,3119885,7820,688531,1866392,31712,1476460,5798410,15702,91,491.800
507424,1762437,10652,634488,2453935,4736,354285,959876,18702,1024464,3998226,1482,78,491.800
581556,1788683,17351,1015604,3888422,2944,453166,1099320,30955,1882479,7271725,-19695,83,491.800
890038,2252399,18588,1131978,4326950,6955,652873,1507288,37201,2049470,7891478,9026,94,491.800
450354,2250115,14137,793725,3054384,3766,306377,1224008,29487,1508184,5888988,-7711,86,496.800
1285752,2436920,12228,673748,2610102,8866,707750,1268528,23957,1054218,4149003,34245,86,496.800
566303,1593316,11565,588581,2254296,-96,428387,840052,22417,1042806,4002119,424,77,496.800
330997,601496,359,9686,48000,-96,119574,216503,142,14992,76012,361,61,496.800
1261023,2926185,29914,2311343,8717014,16309,928260,2241198,80900,6105988,2.316274E+07,35701,104,496.800
1349205,1889664,20526,1304791,5032194,10050,812537,1154888,36753,1910855,7417135,10245,83,496.800
851842,2731414,17272,1035483,4006232,9078,538657,1556310,34351,2003188,7812921,29727,82,496.800
674060,1144763,14829,1018110,3919707,6790,336765,620267,30728,2017890,7772441,10576,69,496.800
759145,1963788,15196,717787,2767419,7687,475478,1031060,32564,1673310,6437843,11796,80,496.800
614955,1602882,13753,833839,3195391,6703,426541,877868,22479,1320955,5114353,9173,75,496.800
1634976,2129424,20080,1297027,4944052,9130,729047,1154029,40441,2037095,7894242,3634,89,496.800
998588,1626755,12988,701421,2669790,3668,529544,857335,22373,1087992,4170974,-3726,81,496.800
1195138,1917011,11527,713843,2761154,7137,535061,890907,18862,1015627,3965346,10564,77,496.800
1663661,3398111,15123,749806,2858834,6084,913570,1685119,30388,1077406,4195898,15001,86,501.800
1178626,1705808,11904,750437,2926627,2297,585020,831889,18759,1044195,4116253,-9387,78,501.800
817457,1359681,11840,623323,2399958,3769,436066,600053,17939,1018479,3913509,-940,74,501.800
308857,1340321,8364,571788,2190049,1957,205415,726123,16740,939989,3609377,-4472,72,501.800
661888,1973932,13320,650816,2498351,1052,420709,1050588,25034,1050890,4048277,-13834,82,501.800
2270107,5256449,20836,744572,2919687,3786,1776191,4775706,65481,2173988,8642293,-3927,119,501.800
481816,1684656,11404,628198,2427280,5080,323766,823591,19894,973488,3792453,9588,76,501.800
960138,1875045,15423,978615,3758699,3628090,1071556,2291317,53672,2697423,1.052467E+07,4875901,125,501.800
1589374,3518494,31736,1963448,7458290,3435415,1133138,2310513,70515,4010304,1.537392E+07,4028429,90,501.800
1113548,3318485,14660,612555,2374754,3321,655764,1844190,29758,1013664,3997372,4765,85,506.800
413977,1574044,9393,587192,2281537,4540,270720,870251,19609,1097128,4261313,2602,71,506.800
819702,2317732,21332,1327907,5041385,7081,584337,1160533,36860,1930335,7399178,12001,79,506.800
1227094,3316435,20672,1038080,3945086,6772,924345,1930192,49612,1988801,7742066,1686,90,506.800
1088774,2448056,13087,937124,3621239,6079,600023,1418762,30857,1793906,7021091,15951,84,506.800
520918,1681778,12685,750954,2892156,6183,546342,1575209,38092,2079526,8087229,-1789,102,506.800
909659,3210723,18448,1016317,3879816,6742,720530,2602414,44167,2223394,8647722,5882,114,506.800
671354,1662609,13072,758249,2896815,6630,454566,822464,21086,1065289,4094987,12468,76,506.800
457420,642663,1588,42476,193081,12152,170279,198683,2151,58961,267505,34089,48,506.800
704069,2113614,18646,1024269,3903669,6889,548925,1293339,38516,2131945,8153414,5376,89,506.800
1050890,2612777,16295,743181,2862219,3431,698485,1386369,26444,1070847,4149850,-7131,77,506.800
1271275,2870022,18776,609831,2373724,6214,762747,1428769,32182,1027485,4002533,19726,73,506.800
1146140,2323959,12927,688818,2649504,8145,552019,1091883,22059,1017262,3967135,21251,70,506.800
750585,1668728,12274,708297,2749879,3873,434494,847058,21386,1127844,4444705,5358,70,506.800
593070,2297402,13582,813313,3178523,9844,508215,1475045,34130,1978794,7758176,22565,92,506.800
1255113,2547550,19647,1107018,4299840,9110,942274,1389977,36482,1916960,7507072,24310,81,506.800
1833629,6618574,32491,1228897,4759112,8871,1701730,5000544,87409,3785885,1.482002E+07,15357,110,506.800
