FSC-H,SSC-H,FITC-H,PI-H,PerCP-H,APC-H,FSC-A,SSC-A,FITC-A,PI-A,PerCP-A,APC-A,Width,Time
843190,1604210,11643,685037,2632628,6308,506561,760350,18693,996341,3864554,13398,73,71.800
1117864,1514149,10780,639190,2430420,8834,477280,690968,17828,998171,3864702,25477,66,71.800
1055402,1723237,12451,635776,2489352,3947,690718,948735,23200,1063480,4201423,-4543,74,71.800
398257,1197565,2664,22982,111477,3000,205221,495630,3775,36587,183020,0,70,71.800
605161,380246,1104,2893,15455,2453,205016,118827,1153,2717,13371,6963,58,76.800
1024100,2608872,16683,1192191,4569714,7189,858189,1601799,37619,2042708,7888244,7104,95,76.800
672192,1505560,10691,707197,2713348,7629,419283,725929,18785,1026237,3974261,31731,79,76.800
1042138,3891257,16384,703361,2725302,6023,911624,2869569,39916,1728604,6787170,9001,105,76.800
805600,1412291,13564,763648,2915285,7938,785249,1373149,40010,2298394,8859230,12573,135,76.800
887031,1620104,11526,545287,2072874,3156,457203,748187,21058,1029694,3937017,4704,82,81.800
1652075,3262475,14207,710835,2740190,5328,883519,1635538,23552,1059940,4142517,7924,82,81.800
771122,2374144,15389,911140,3489461,3781,592698,1527424,34297,1850864,7164398,9151,90,81.800
654432,1682918,13197,704960,2662487,2753,449092,877212,21890,1072240,4097515,-3284,83,81.800
850035,2750381,16596,888210,3380551,74894,710997,1719239,39794,2063084,7942820,78264,92,81.800
1093247,2038251,7750,111187,453351,3076,556557,1011024,13625,162984,690382,923,78,81.800
912709,1996052,17904,1145647,4415381,10011,510598,1016083,31399,1892115,7344917,25521,78,81.800
1427278,2825155,17452,1338110,5067952,5199,813910,1439630,34935,1983071,7601579,-683,91,86.800
1193792,4510035,33417,1700623,6442782,11431,1221664,3891064,81807,3726991,1.442125E+07,13655,114,86.800
768212,2420124,11273,552038,2118333,2402,489388,1371643,22889,1070255,4112412,-11270,81,86.800
698731,1895528,11222,573313,2215157,3447,415540,950071,20534,1040719,4061020,-5219,72,86.800
1059741,1678771,12661,693158,2678771,-175,492194,796238,19560,1050414,4076134,196,69,86.800
671887,1625802,11934,740307,2810420,1890,431544,759169,19806,1064480,4070506,194,68,86.800
1555714,3630814,22433,1338126,5131537,5578,1020950,2151185,41697,2026677,7883482,-6188,108,86.800
616164,1368637,12583,670967,2554200,687928,354292,605016,20542,1019330,3877317,238391,67,86.800
684467,2074214,16567,1110997,4224227,8729,544620,1233487,34311,2092885,7997567,19697,85,86.800
797780,1995835,14337,841843,3223031,4234,562633,1149673,31071,1765169,6860563,-1953,84,86.800
1170313,3760540,32289,1672553,6378979,10650,924698,2826421,73532,3595704,1.381209E+07,7427,100,86.800
2178004,4924208,22594,1068086,4096384,6502,1516309,3163789,52057,2109003,8242875,15518,99,86.800
776409,1539273,11904,660791,2532350,3166,455495,808600,20286,1045597,4008050,-1631,80,91.800
428009,1220644,1218,17812,89673,875,196427,509359,1637,31162,158032,118,71,91.800
1047685,2192694,20502,1035070,4001747,4759,682971,1257774,35742,1770171,6821130,-9663,88,91.800
1272468,2221428,14123,715840,2755469,6532,763891,1107809,23874,1054764,4104397,9566,76,91.800
595189,2307196,16501,969796,3735633,5647,393780,1666505,36764,1906449,7385891,3049,95,91.800
691457,1456336,14252,1018698,3878409,5402,417747,779819,23964,1653743,6342993,1533,78,91.800
880973,1811041,13965,818862,3180603,7874,488939,898462,24159,1416766,5493475,21533,77,91.800
655221,1094640,11005,709239,2731961,2911,346130,513471,16431,1022013,3961329,4180,69,91.800
1507587,2516291,12666,599129,2355361,6133,775831,1295185,25352,1089299,4311537,12742,79,91.800
403621,797150,8867,627318,2391883,6066,227769,379802,15744,1025386,3944946,12732,77,91.800
1000410,2170030,18546,971013,3712568,12557,938668,1769238,48788,2491728,9566799,68932,103,91.800
715432,1565455,18075,1133702,4347556,7066,480905,882709,32641,1857230,7162005,14344,72,91.800
666982,1745623,13199,662360,2525918,3283,407679,867621,22289,1109680,4285740,-6296,78,91.800
1130644,2213650,12914,711447,2727772,2911,677522,1134054,24046,1055486,4070434,872,80,91.800
3042317,9825624,54507,2570923,9715875,14359,2945060,8567255,177972,8195278,3.12405E+07,33128,127,96.800
794289,2231833,17220,1191750,4541473,5643,515140,1161706,35192,2031795,7816582,-6444,82,96.800
603679,1912124,13199,772944,2997364,4072,366746,1005370,20219,1044606,4090425,-3734,85,96.800
583479,1865082,11857,624285,2424469,3358,368879,946047,19861,1068778,4187325,2479,80,96.800
909483,2514274,17699,1152270,4475612,9932,479361,1445589,36021,2032535,7942652,12999,90,96.800
990470,2588756,16452,974047,3721878,5972,705166,1486163,30055,1561229,6022140,-2733,90,96.800
950049,2444238,10550,686191,2653529,6804,559909,1346829,17999,1079058,4186426,16226,81,96.800
1005436,1850562,14084,693787,2713755,6746,558993,941190,21373,1003582,3968514,14347,73,96.800
439148,719154,4133,15216,71577,2763649,228178,257661,6146,25507,116327,1746497,59,96.800
642494,1835457,17862,1133063,4356991,7984,504335,1174904,34187,1855420,7129882,3066,84,96.800
635333,1370996,10585,596558,2298861,4425,302771,617491,17991,1011607,3911931,-2346,70,96.800
397521,1641006,15751,1044360,3972634,8467,355440,1116355,34521,2036712,7840546,22704,87,96.800
1046738,2215914,13268,658368,2544062,5274,510086,1103430,21757,1069931,4163080,15410,72,96.800
1208002,2300181,16688,1047661,3979152,8528,636390,1193616,30930,1782542,6817084,21739,84,96.800
1004254,2189773,17651,1105131,4197107,6328,590761,1256155,32311,1827239,6979396,3153,82,96.800
653935,1564159,9135,457490,1803857,1854,317671,682154,18338,1011919,3980412,-7458,65,96.800
825657,2205679,19919,1156250,4444727,8105,601449,1181117,35312,1946950,7582127,17810,87,101.800
1212797,2542655,12012,754766,2890188,11623,740953,1442589,24088,1371862,5336065,45259,85,101.800
759317,1440463,12406,702094,2688003,7325,430106,697648,20636,1055456,4073265,17450,73,101.800
994489,1807576,11371,628635,2472197,5835,581235,954979,20166,1008535,3989117,19068,84,101.800
1263650,4001472,25543,1319061,5077512,14574,1065658,3176438,79387,3661762,1.423565E+07,63343,148,101.800
385485,860983,2340,38099,170225,4062,206965,373073,4800,59138,280835,4533,57,101.800
191284,288058,383,4902,21629,1854,69699,91131,280,5853,26727,-494,53,106.800
693811,1640088,11619,738777,2817299,4322,442676,909901,18698,1062580,4090929,2029,82,106.800
484354,1114310,10220,653293,2494826,3556,279286,563655,17216,1002865,3867701,1438,77,106.800
1416890,3675913,19237,1048705,4078168,8979,980359,2578199,46617,2060840,8099239,21442,102,106.800
1393906,4505385,15758,763427,2932740,2097,1088298,2560457,36578,1122004,4449977,-13684,95,106.800
868801,3561034,18882,1167006,4492729,4199,717885,2761952,40388,2083127,8159293,-25258,109,106.800
736606,1555950,11890,632404,2433982,5654,442469,843704,20568,1000777,3870481,11513,80,106.800
1116732,4155844,27248,1609775,6165102,15814,1018143,2795848,69772,3998029,1.542203E+07,51168,95,106.800
1047088,2413042,16429,1178007,4550171,8227,594845,1103211,30236,1914805,7432188,19525,77,106.800
363601,1143263,9437,605855,2321689,2097,263222,696734,17123,988079,3826744,0,77,106.800
1573669,3375606,26177,1401897,5332524,5846,1152866,2405280,66294,3332523,1.276058E+07,-11679,99,106.800
615142,1591309,11780,648258,2524397,5775,363100,789181,19225,1035674,4052228,7209,70,106.800
759945,2095980,12106,628285,2427664,5124,478310,1086460,21969,975583,3826078,7962,76,106.800
1058589,2119232,11131,708896,2702909,4265,592606,1026765,22368,1040118,4034181,4500,80,111.800
396891,1337167,10771,661339,2543996,2044,250916,632336,17234,1022586,3946355,-4729,65,111.800
900980,1755129,13608,685000,2636246,5827,460296,880312,22940,1097183,4273151,10110,83,111.800
