FSC-H,SSC-H,FITC-H,PE-H,FSC-A,SSC-A,FITC-A,PE-A,Width,Time
127475,1816633,113,-163,44574,985716,171,-30,33,15476.799
552982,1827677,121,-14,225312,1207926,31,47,42,15476.799
2208496,1705806,206,195,971665,1240212,76,47,48,15476.799
6134271,2304845,1264,158,4453357,997781,825,11,97,15476.799
3445995,1951960,326,219,1230135,322590,158,-17,38,15476.799
267531,2361643,580,352,33673,552046,591,151,13,15476.799
2377339,2281124,1163,493,730743,1204323,1607,516,32,15476.799
3677151,420352,1505,494,3971801,-1.053232E+07,2203,1888,126,15476.799
839897,2083791,398,543,977872,3882908,1169,1608,120,15476.799
109034,0,-49,-66,21383,-154324,-71,61,18,15481.799
1156699,0,119,-20,428094,-278662,-46,-22,39,15481.799
5053988,53080,212,58,2649718,-345707,-16,-35,62,15481.799
6350854,7757768,1433,314,7683007,-1843432,1282,195,115,15481.799
3861522,7434967,445,167,1901469,-864640,297,-112,46,15481.799
4779783,2211578,168,130,4694006,1516184,61,14,111,15481.799
8083705,700013,62,93,9687101,-2836709,37,72,130,15481.799
2167489,0,906,392,612118,-1903205,542,280,28,15481.799
4844563,762733,132,118,3742037,-503080,-37,33,95,15481.799
668276,0,596,358,257493,-54,546,227,52,15496.799
104098,0,-14,98,24813,-156397,-8,13,23,15501.799
976421,0,155,174,433738,-346771,-112,85,49,15501.799
1.118691E+07,0,810,351,5567229,-8143826,452,234,49,15501.799
256446,217725,1322,172,444341,289496,3482,335,148,16331.799
103582,10372,120,198,56461,6874,105,-98,79,16486.801
102694,8990,262,40,51976,4114,61,91,70,17066.801
528945,1174208,258,227,237493,507439,46,18,78,17941.801
124007,1772296,164,295,74943,1077540,11,311,82,18466.801
142113,47768,135,176,77005,24794,39,33,78,18731.801
186401,76473,56,277,50917,20846,-11,279,42,19006.801
195790,1713592,67,130,82838,775568,-21,-8,63,19126.801
142165,129701,173,98,45094,41274,35,17,46,19351.801
131133,17942,133,32,66030,8426,-81,25,62,19961.801
234551,809743,66,41,117985,374125,64,-7,69,20356.801
123693,121285,25,212,37298,35883,16,139,42,21046.801
153905,1893646,0,10,56520,1076571,-59,-14,35,21251.801
655758,1818307,79,-127,272599,1212667,18,-44,42,21251.801
2617288,1775547,236,114,1170019,1264487,80,-16,48,21251.801
6168673,2345314,1222,529,4746237,1114780,761,588,96,21251.801
3451943,1992848,411,233,1167390,326294,453,114,38,21251.801
1874465,96229,-143,115,554730,-85577,-21,71,28,21251.801
7922147,0,142,39,1.158834E+07,-1.420138E+07,27,146,120,21251.801
590919,0,29,149,139606,-2731638,93,-10,23,21251.801
3311170,0,-68,229,532441,-1171199,139,109,17,21251.801
856810,6441493,182,220,1197907,1.382327E+07,-69,73,139,21251.801
534017,0,250,-110,140568,-236982,-1,35,26,21256.801
6338958,352505,322,25,5539594,-2985285,283,11,137,21256.801
642181,0,715,269,236407,-50,858,6,48,21271.801
184523,0,-19,146,75578,-296089,0,-7,40,21276.801
1179596,0,83,58,515004,-393153,127,-77,58,21276.801
1.022065E+07,0,1408,820,1.436764E+07,-2.215679E+07,2099,2387,121,21276.801
129017,81250,72,-36,38271,24229,58,-79,42,22046.801
186382,312350,141,1,71683,135985,123,27,59,22136.801
502775,272056,990,362,214926,106189,1534,-34,73,24431.801
114829,18762,108,135,92573,14706,12,33,100,24971.801
218458,45450,251,188,85474,18309,42,52,59,25056.801
101627,7730,255,193,116801,7983,35,181,161,25236.801
103145,69283,96,170,31296,20952,19,3,40,25926.801
171933,1873081,87,128,64280,1097869,12,32,36,26176.801
704471,1819864,-5,96,298394,1226245,-39,32,43,26176.801
2823172,1777222,170,-39,1277670,1282287,96,-103,49,26176.801
6183197,2321019,1477,275,4982246,1089940,369,190,98,26176.801
3281046,1975387,286,166,1021314,266763,122,-30,36,26176.801
110819,2839036,194,-144,21713,970824,101,-13,21,26176.801
105900,1877597,121,-39,20424,596268,-61,54,19,26176.801
120747,1834036,98,-145,24704,650895,-36,3,22,26176.801
125519,1743438,210,-70,26014,621796,59,0,22,26176.801
119039,1662801,336,-130,24018,567035,66,-21,21,26176.801
106402,1555439,307,-70,19787,490395,145,-20,19,26176.801
1831789,1772789,291,-1,2605583,2499121,373,-43,120,26176.801
1289453,1072926,159,-51,1033799,1141607,112,-5,77,26176.801
4586697,0,267,269,7125023,-1.121602E+07,-77,211,132,26176.801
1600289,0,61,50,1123439,-8018232,45,-123,66,26176.801
2034107,7456150,372,316,1239796,-1408511,344,282,58,26176.801
1088864,7022203,935,562,1414743,1.270743E+07,3963,3130,138,26176.801
3089437,0,217,267,957873,-1698468,-191,314,29,26181.801
3002570,7927851,658,66,1556544,8849802,546,2,76,26181.801
5751795,261399,594,196,5518709,-1.13101E+07,1351,248,97,26181.801
184423,19504,163,50,80590,8107,-96,-98,58,26596.801
265099,145696,529,222,88313,54760,545,97,53,27211.801
135491,66366,565,465,74409,36763,806,152,75,27301.801
1192210,0,387,40,256277,-152873,166,-29,23,27486.801
5871510,895249,1690,1498,4058889,-1204376,1929,1965,84,27486.801
909148,248127,13788,763297,778961,101983,39614,2044178,90,27501.801
920215,1902039,19650,1068222,633347,1246354,39018,1988460,100,27546.801
1098828,1671280,15853,873382,495391,890229,39029,1967146,77,27546.801
720116,1658268,11593,551216,389803,870266,22573,1033770,83,27576.801
1114876,1912927,16335,829284,640849,1067139,38617,2054750,102,27581.801
381871,1389832,12910,539351,220282,721291,24603,1104820,71,27581.801
809894,1980132,17048,933054,459269,1095154,39867,2158181,91,27581.801
1361301,3825193,24351,984651,915874,2270420,58189,1983525,117,27581.801
1461886,2007704,19380,831895,636505,1080697,43036,2098545,95,27586.801
928699,1857387,13471,581239,425588,988026,26314,1099192,79,27586.801
644299,1187668,7963,332285,495051,880193,36635,1986955,163,27586.801
523056,1167412,11558,509062,360472,654247,24705,1159267,83,27586.801
1560619,2603844,17856,887804,716220,1313544,47462,2066118,95,27596.801
817476,1337025,11862,642857,567612,977652,31582,1552065,93,27596.801
937058,2228402,14314,701206,804850,1497990,43221,2068971,109,27601.801
1382362,2231591,16769,868001,815916,1165083,41492,2045641,86,27601.801
398590,516969,9227,572084,401988,557091,31271,1938591,116,27606.801
1385874,2822371,19145,774284,1411102,2890030,91694,4128170,165,27606.801
428964,1381153,12399,585791,332996,1094237,39989,2088670,147,27611.801
959095,1679943,18310,775538,598721,1056127,41375,2082292,94,27616.801
917461,2851454,19568,915831,593628,1661122,47890,2069847,89,27616.801
1743369,3630196,26509,1367605,891612,2034879,73297,3849288,111,27616.801
553065,1026112,10347,582959,399314,835976,32835,1957884,89,27616.801
802777,2129436,15189,741170,697441,1533615,41563,2063984,99,27616.801
946127,1414376,13464,738960,633084,993918,37883,2037867,98,27616.801
1293511,3298596,22114,982232,1045835,2625305,83183,3959665,119,27616.801
908123,2417783,16997,667014,641126,1555144,46867,2021487,87,27616.801
748681,1649825,17091,978348,552936,1119797,41078,1963866,77,27616.801
1190461,1798905,17854,934122,626972,1100756,40812,2059844,79,27616.801
1483664,2494000,18062,880291,791881,1520304,45484,2027381,93,27616.801
676924,1682501,14602,713957,467042,1150309,40834,2057803,97,27621.801
