FSC-H,SSC-H,FITC-H,PE-H,FSC-A,SSC-A,FITC-A,PE-A,Width,Time 
1175316,1946801,14018,774073,664596,1170960,41369,2036836,109,30326.801
922987,1902535,17867,773823,516747,1032510,42480,2104235,110,30326.801
483083,1602012,13109,700099,357421,1057837,35719,2099279,96,30331.801
958597,1736762,12670,415918,682535,1204789,44812,2070152,168,30336.801
1544072,2572569,15584,476715,728416,1100495,33468,1265359,74,30336.801
920387,2770361,23833,1219052,764833,1867468,61901,3058726,97,30336.801
1021681,1334779,10486,461439,455873,723294,24692,1093799,82,30336.801
902006,1912339,10502,451201,538233,1205448,28750,1087223,100,30341.801
967076,3518701,22499,713872,714889,2164897,56915,2183240,98,30341.801
122918,135887,1256,40788,40680,37289,2717,106047,53,30346.801
103186,88644,957,42875,31111,17478,1492,68066,43,30346.801
1052239,2337173,22277,1076044,1256471,3211322,101777,4353270,172,30346.801
852996,2067571,18764,1069868,575950,1146837,41111,2035165,84,30346.801
950188,1926578,14248,528335,503896,937485,27899,1054961,77,30346.801
1220345,3079763,15015,726999,838874,1848398,36274,1476939,91,30346.801
628420,1191596,9699,470349,445860,721337,20257,1002028,77,30346.801
1068725,2852873,21205,956770,707623,1680779,47523,2048056,81,30351.801
672740,1119087,14003,765687,352481,733455,38395,2094775,88,30351.801
102566,149449,588,12921,34751,51202,472,13577,44,30356.801
295540,900895,3657,13696,130146,365841,6503,22087,65,30356.801
888515,1424070,10105,539926,433149,706292,21505,1022614,76,30356.801
891575,2061472,20889,997340,542447,1174501,44875,2154964,87,30361.801
658823,1663821,12499,568599,354506,832188,24713,1081007,77,30361.801
833565,2084030,15975,815410,626152,1383532,40649,2083511,93,30366.801
869563,2164893,17760,957604,723755,1639855,59735,3448965,114,30366.801
174493,241421,587,4137,57901,77110,370,5595,49,30371.801
1289930,3464048,25825,1044781,833652,2226718,60465,2157543,92,30371.801
665052,2286290,17335,883434,397984,1276011,42193,2051904,86,30376.801
711850,1808939,12734,486871,415705,936480,25856,1042116,84,30381.801
302036,621621,5851,316674,290440,517380,19563,1083857,105,30386.801
983943,2551637,17782,848717,633429,1775267,45198,2094456,101,30386.801
1188711,1983713,15772,854363,642345,1100523,42438,2114370,87,30386.801
650718,1324587,9759,552028,487668,944780,25169,1187823,88,30391.801
959205,2050613,17450,826055,646256,1132428,39571,2048719,88,30391.801
644253,1362294,12980,742262,427347,846099,37394,2080054,116,30396.801
1556119,3362724,20063,876918,941137,2024627,51704,2091575,111,30401.801
1323885,2748179,17575,629452,970137,2149759,59031,2144143,114,30401.801
103730,93645,563,23172,34241,31486,704,29449,43,30406.801
252309,423308,1124,9002,110240,156856,1376,11322,58,30411.801
632199,1831352,12220,573464,399122,1017552,26605,1094664,82,30411.801
781327,3006622,16904,571073,543946,1747147,45923,1968923,104,30416.801
1385811,2167223,14273,593025,721252,1071236,28282,1087328,82,30416.801
596609,1751456,12541,488782,324372,854566,26086,1131512,82,30426.801
643223,2565962,17550,647458,573793,1653663,49157,2118670,125,30436.801
793696,1571239,12711,535302,422357,829520,24387,1012487,81,30436.801
1070783,2174792,17626,886075,554627,1334377,70179,3918908,154,30441.801
100177,59447,422,14086,28241,16705,240,13994,39,30446.801
124625,145476,4125,266564,61374,187403,24207,1669736,151,30446.801
941029,1920528,17226,869311,629127,1202592,39199,2035540,90,30451.801
1348400,4122234,28979,1285337,1180428,3107798,87816,4102305,116,30456.801
868216,2653141,22663,1162999,619254,1474698,44119,2070737,82,30456.801
681062,2175196,13533,595406,536959,1498925,32569,1084253,94,30461.801
665710,1852305,17707,777811,509854,1116941,42587,2014502,89,30466.801
839531,1835614,19013,1091008,503972,1174712,39058,2035788,86,30476.801
820834,2171990,20363,1031760,445679,1198787,40259,2091163,84,30476.801
1104676,1846935,13595,568670,543967,997165,41916,2059417,136,30476.801
792595,2212198,20326,1071400,531746,1367143,42377,2120492,89,30476.801
121276,116330,647,29186,38389,35053,711,30525,43,30486.801
809354,1823409,13430,536145,414242,876442,26715,1066867,78,30486.801
247977,586152,7953,512990,205601,526528,31771,2064444,109,30486.801
663094,2105869,11970,464434,323832,955195,23094,1020469,73,30486.801
764169,1359671,13822,701946,350349,702552,36901,2114172,83,30486.801
696707,1894393,17060,819908,449596,1115231,41673,2063324,90,30491.801
913892,2011359,18450,981120,487757,1142057,38414,2051674,87,30491.801
1449686,3772580,21165,753755,960383,2292610,54890,2160270,99,30491.801
111934,149308,458,2409,36607,47118,529,2112,43,30496.801
890752,1962786,17396,923002,486919,1130975,41295,2115564,98,30496.801
493142,1469239,12765,672949,509866,1191668,41506,1998432,100,30496.801
956782,2394338,17698,887978,736917,1471190,44037,2078247,93,30501.801
1069865,2699436,20671,1008421,649006,1384934,45550,2172422,89,30501.801
403694,891385,5479,19132,161048,320270,5808,24993,59,30501.801
1103479,1599042,14755,727244,748035,1275567,43499,2098876,102,30506.801
874617,1983778,13102,536852,421792,920405,24754,1070835,78,30506.801
320287,1648002,15596,838251,252056,939015,37648,2029138,85,30506.801
650404,2455775,15601,749414,556568,1825470,48184,2046437,105,30506.801
776880,2272265,12856,427316,353539,1030985,26422,1051251,72,30506.801
885869,1978523,7429,39635,428615,840827,11346,60407,73,30511.801
190570,314310,3152,129587,104156,196244,9500,481260,75,30516.801
1151353,2514331,19640,957582,638966,1316762,41340,2030499,86,30521.801
332444,1480831,8226,270421,236019,785268,23501,1004441,106,30521.801
1958517,3580060,25219,889855,1025518,2166013,59221,2180653,96,30521.801
197039,86393,506,20323,54639,23909,508,20522,42,30531.801
665532,1862485,17003,854086,389307,1160305,43121,2118211,95,30531.801
882401,2049091,15683,901627,500156,953283,38184,1949049,83,30531.801
858883,1959575,18266,952185,488088,1122261,40580,2049177,77,30531.801
353556,1031025,10775,465931,206587,487481,19599,993476,74,30531.801
736729,1811489,18539,946300,504597,1207642,40641,2045060,89,30531.801
1093391,1960575,15780,827506,1025042,2154633,70621,3125047,155,30536.801
823390,1442378,12963,673072,575025,1082471,40528,2058894,111,30536.801
1257720,3192348,19797,1057152,631265,1635528,45808,1982189,95,30541.801
1032135,1761707,17036,904310,488826,865661,37015,2089081,83,30541.801
833130,1642227,17126,884335,937975,1695898,64427,3073578,151,30541.801
709559,1885597,13785,736152,581833,1459554,43312,2154192,99,30541.801
566095,1499931,9254,449542,324627,808628,19930,1065954,84,30546.801
548625,2699570,20270,1027493,399101,1423895,45010,2075329,86,30551.801
1230812,1408271,11995,620980,694457,783875,22063,1046515,80,30561.801
946801,1489444,11735,504083,482576,768934,24158,1054463,83,30561.801
1172138,2329560,25548,1370947,766191,1953547,73494,3940940,107,30561.801
901613,1631847,16145,900023,651228,1140298,41007,2057836,82,30561.801
914334,1521683,12942,471689,354817,610091,24376,1037477,83,30571.801
369870,733039,3053,13100,182876,299959,4072,22251,67,30571.801
647383,1677130,15106,797129,474547,1115650,39368,2094346,92,30571.801
1233164,2397304,16469,809037,652891,1304942,48568,2012340,105,30571.801
1009580,2174597,16298,619308,575316,1010650,27230,1057999,76,30571.801
1130023,4380419,26924,1201258,1110197,3478961,87924,3966981,118,30571.801
853687,2502009,19862,921414,550887,1516272,42749,2030360,80,30571.801
664816,1462297,14104,764358,487861,986037,38426,2040568,89,30581.801
493535,1275264,10065,388707,284939,706042,24356,1059445,82,30581.801
524529,1530559,17762,941132,390005,994419,38769,2027894,88,30586.801
664306,1819079,13871,679744,385553,1090511,37756,2064931,93,30586.801
939078,1587621,16976,884701,645586,999611,41163,2021920,91,30591.801
159229,258101,935,3435,61517,92162,1302,4706,54,30606.801
1412032,2580537,21541,1051966,853531,1649214,47738,2013902,90,30611.801
802124,2107387,14833,507049,472508,1105332,29126,1084257,82,30611.801
1521783,2447420,17083,1004126,1075539,1745174,67779,3923153,166,30621.801
841231,2255814,22559,1081702,629436,1288453,44745,2082928,87,30621.801
249751,399581,-41,1494,79702,118787,-31,1515,48,30621.801
1015202,1602226,15521,793226,727697,1272257,42427,2081668,98,30626.801
751212,2414401,18127,757436,583466,1582931,46451,1989541,92,30626.801
724672,1833930,12314,519873,451341,1046031,27187,1092932,81,30626.801
1279378,3728986,22296,1054405,1291803,3374422,79183,4029496,126,30626.801
562679,1571446,13236,544958,388224,883203,27753,1015009,71,30626.801
1186145,1859091,15379,938612,746370,1301119,39629,2047574,93,30631.801
979678,2287053,17629,758551,595324,1481523,49247,2059091,103,30636.801
815888,2145721,17678,928889,513234,1350570,39943,2045221,88,30641.801
1506432,2165811,13418,678742,735951,1215288,28010,1109476,84,30646.801
697386,1920586,17912,1091021,645576,1605269,70522,3979011,118,30646.801
658926,1848543,11896,541664,397247,913758,24816,1067615,79,30651.801
505946,1800801,13248,486408,340096,1060954,27779,1080145,84,30656.801
777608,1980899,14866,664756,469996,1109655,39386,1951272,100,30661.801
702479,1385802,10799,507688,381842,868200,26059,1088229,81,30661.801
1387688,1581013,14912,761604,1139182,1383580,46778,2009251,101,30661.801
804582,2254996,18315,941617,434111,1290583,43717,2067147,83,30661.801
1422062,2217099,17817,777321,749426,1299942,43678,2069001,93,30661.801
1270717,2530867,17455,874986,708095,1401905,41246,2011595,98,30661.801
578953,1679003,12185,456999,356277,904707,25973,1038015,92,30666.801
697497,1763076,15603,863135,446249,1164016,41167,2065593,93,30666.801
758500,2037747,15551,799738,372414,993889,41200,2111789,113,30671.801
683869,1977910,18763,982091,400001,1058303,41115,1982480,80,30671.801
689195,2278628,16750,843739,351831,1112284,39841,2017240,90,30671.801
649502,1823422,12617,498042,319573,865719,23694,1047438,87,30676.801
961242,1866667,8485,33483,354049,649159,10321,44002,63,30676.801
160494,136431,713,57098,50787,45999,1450,105177,50,30681.801
902497,3240744,21756,971650,634394,1864376,46907,2151453,88,30686.801
689971,2111439,19518,1031343,407728,1222522,39619,2031971,87,30686.801
873818,2402712,16150,781239,688281,1492582,37519,1510997,87,30686.801
1014216,2100621,17388,854203,707174,1312312,42420,1964806,88,30686.801
1575233,3358377,15519,74324,954966,2014352,36972,175175,91,30686.801
635069,1601607,12766,575471,406667,851135,24937,1086431,80,30696.801
722669,1586801,12679,610843,474181,896997,25532,1065452,81,30696.801
644936,2023148,18541,893577,447268,1030554,41015,2048234,82,30696.801
919416,1736668,15696,887016,557737,1039885,38028,2006919,95,30706.801
113371,94620,3311,3334,44323,53091,5963,6265,57,30706.801
1358952,2716224,17978,987924,662315,1303716,39283,2065688,86,30716.801
615706,1901244,17272,837483,300636,1063080,41917,1977640,85,30716.801
623538,1831690,13585,573703,379177,861081,24047,1053091,78,30716.801
909141,993079,9761,494561,722395,669685,25857,1301697,100,30721.801
605388,1671698,15186,753727,505863,1096547,39620,2106458,94,30721.801
765146,2188033,11980,576529,508542,1249958,27622,1071034,84,30726.801
976373,3057182,22108,1042054,537995,1555667,46590,2126848,89,30726.801
297293,284117,1584,6144,112456,99151,1880,8743,55,30726.801
784354,1621366,15251,767863,406036,832967,35852,1948122,93,30731.801
766219,1718031,13006,534099,571617,1060009,30810,1081691,87,30736.801
1425963,2171323,17170,927080,1060343,1888215,64615,3067291,136,30736.801
410713,1276495,15438,921891,567839,1448358,59974,3412549,179,30736.801
851010,2075575,17476,977606,516159,1201935,39023,1995244,80,30736.801
1139514,2204498,20969,1107668,767085,1166871,41168,1963553,81,30741.801
735760,2075195,18356,963736,354686,1139829,38467,2024309,86,30741.801
1382445,2624965,20861,1054683,731751,1500564,43666,1957741,89,30751.801
469908,1216167,10479,576931,302049,659418,21697,1041262,79,30751.801
494576,1387205,10973,501817,679814,1262941,31788,1152021,167,30756.801
1220617,1850617,18633,897009,783578,1347836,48914,2029654,90,30756.801
798664,2129170,17948,840627,595074,1279525,43104,2001032,95,30756.801
787131,2422877,19979,1113577,804293,2055853,63090,3037939,116,30766.801
338909,1853055,16066,714456,275693,1094388,42565,2049584,109,30766.801
543515,1527120,13335,631032,444465,1097249,39399,2078289,109,30771.801
895046,1832342,15061,718212,606887,1200011,38930,1942121,102,30771.801
355637,834907,5646,276674,142130,312200,10404,493247,58,30771.801
768730,1029325,4443,18672,327470,441088,6700,29923,68,30771.801
769381,1913515,13338,521655,480872,998772,25855,1014735,84,30776.801
499942,1873909,14560,712108,347102,1118640,40093,2055916,93,30786.801
121769,168179,939,4074,40028,51236,1010,5706,44,30786.801
582349,1036498,3234,15598,306319,631866,6721,40351,86,30791.801
1215555,2509515,18352,811420,675311,1402900,46243,2061040,89,30796.801
964307,2350213,21088,839213,605378,1430232,47088,2135069,94,30796.801
528719,1642934,12496,554753,332126,818017,23549,1033358,78,30801.801
1140975,2310994,18973,952435,1221730,2402334,69692,3064503,128,30801.801
879127,2111235,17221,1002896,656952,1188601,41843,2102762,78,30801.801
918105,2748968,18525,923954,578213,1673043,44785,2058233,94,30806.801
504100,1964563,9393,197227,300837,1120978,23319,842511,105,30806.801
865119,1948837,12190,498437,496695,1136624,27758,1187374,121,30806.801
1052405,1803818,15369,697633,793619,1516030,62357,3047549,117,30806.801
766317,1998480,17329,906070,385534,1140643,40386,2021088,73,30806.801
621778,1881781,15696,767151,423425,1195921,42001,2084002,95,30811.801
475697,2105709,16976,733536,306014,1162001,40238,2105981,88,30816.801
105154,75181,304,7801,33953,23223,156,10173,43,30816.801
641043,1628851,12162,580213,428238,978773,37590,2019522,95,30821.801
522972,1801048,13024,455170,227402,776976,27590,1072087,60,30821.801
432871,1206908,8967,408898,244300,711393,22650,1013279,68,30821.801
1020945,2126354,20294,1110280,748362,1682699,75615,3896308,136,30821.801
1329605,2849058,19219,991708,838062,1755605,47238,2101496,90,30821.801
1273460,1972566,16195,818999,776071,1628210,45343,2059121,97,30821.801
208264,158974,884,39766,58836,44547,935,39941,43,30826.801
478527,768313,5988,278876,331569,564091,19554,1011466,116,30826.801
876412,2310271,20170,1017391,627805,1460559,46111,2047540,111,30831.801
868945,1626824,15014,724780,438482,827286,33509,1827980,84,30831.801
799612,2100916,9456,329951,530480,1141867,16667,646321,86,30831.801
1148106,1747903,14082,546618,597465,887040,25475,1091832,78,30836.801
1470075,2415513,16052,818516,601240,987011,39837,2062128,90,30841.801
775032,2417566,19320,901908,689408,1719531,48440,2116656,104,30841.801
858592,1496363,11149,588834,399869,707863,22212,1087030,81,30846.801
874704,1695083,13704,684235,367876,846291,38787,2089639,104,30851.801
120886,96550,318,21738,39191,30063,112,25002,43,30851.801
848729,2094638,20098,1011979,592364,1273167,43859,2124355,87,30851.801
685165,2088576,14212,652361,431887,1022907,25328,1047802,77,30856.801
967149,1452762,13718,772699,586303,1182865,40216,2053981,102,30866.801
1119688,2667038,20231,599391,715950,1465745,37273,1058157,84,30866.801
890968,1783156,11306,583488,400872,815578,24348,1043195,80,30871.801
1289644,2920851,18530,1005014,587146,1420573,43494,2110150,91,30871.801
958582,2529273,18096,868135,481350,1373767,44722,2045524,93,30871.801
779851,1389848,10569,559653,406384,822779,35413,2001816,144,30871.801
1102834,2338275,18264,1092173,613679,1480383,44033,2130276,92,30871.801
100259,89446,286,18330,30138,25883,174,19605,40,30876.801
620969,1895129,13782,661657,392623,1092971,38680,2038220,116,30886.801
674287,2022957,17274,824041,506675,1111220,38158,1967908,90,30886.801
738589,2003053,15676,748924,547675,1135901,41792,2046480,94,30886.801
999678,1596891,12156,469197,513178,902279,27443,1033498,87,30886.801
1020047,1762199,15809,768594,846032,1411073,43022,2036279,93,30886.801
1093671,2562613,17391,975921,1019024,2429287,80065,4120245,122,30886.801
518468,1574792,15312,786543,451183,1141265,43866,2095653,90,30886.801
564780,1429362,10490,556136,346232,755398,21882,1019715,78,30896.801
703553,2027617,14959,583469,483180,1021718,28229,989934,82,30906.801
262672,385566,2974,132102,160137,227491,8703,419128,73,30911.801
104926,94775,432,1573,31174,27799,339,1616,40,30916.801
379516,1031159,11792,634882,338105,722309,35177,2087302,108,30921.801
1008023,2945897,14280,809270,765591,1894398,43098,2073378,94,30921.801
1151476,2485419,19451,988782,557503,1333922,41333,1907949,87,30926.801
555108,1274926,8593,324108,589682,1386091,43963,1736002,129,30926.801
1151199,2263370,17253,715202,1101454,1945905,67915,2987188,136,30926.801
388787,1101963,10802,617333,251598,634539,33713,1838687,84,30926.801
828832,1652540,15645,647479,521961,1021868,40072,1948553,77,30926.801
630845,1179152,11433,510521,328861,604537,23379,1068911,74,30926.801
657861,1609689,18119,1020353,500831,1047817,37228,1919869,86,30931.801
130453,432377,1654,6473,54848,158177,2296,8909,53,30931.801
899296,1041971,9624,436622,509351,624421,22787,1048417,82,30936.801
867372,2370051,18096,885469,389274,1198259,43831,2121062,90,30936.801
1017568,2180504,18569,1040948,572596,1300985,39777,2042619,85,30941.801
1122910,2255809,16940,889437,748868,1382967,43766,2113139,91,30941.801
551722,1160640,13390,705643,359065,687205,32523,1674272,83,30941.801
1248853,2197334,22401,1161365,620610,1113580,41636,2125594,82,30946.801
1117497,1886906,18002,1019250,557488,911814,39217,2038760,92,30951.801
675721,1807264,19967,881493,477893,1057361,46380,2153428,93,30966.801
135691,111358,337,14441,45439,37293,258,15893,45,30966.801
947815,2697582,18228,836672,455723,1220708,42928,2057202,99,30971.801
1690463,1808987,14393,787754,1029478,1214569,40336,2068056,101,30971.801
503751,1481559,9481,378325,237602,726239,23564,1089211,96,30971.801
1117984,3106210,18077,901504,641226,1623714,43861,2039967,98,30986.801
914028,3160295,20239,847930,767987,1932691,51319,2102460,95,30986.801
886118,2257708,22612,1392029,887896,1741672,68945,4062423,105,30991.801
955833,2117774,12313,556290,435470,1045790,25954,1038358,85,30996.801
794875,2485983,19263,891087,417585,1201502,43354,1970556,86,30996.801
110389,40675,15,-14,40096,14149,54,-629,50,31001.801
810268,1444798,13619,673558,518420,867460,34718,1706304,86,31001.801
938657,1982883,15973,617620,532412,1049717,30556,1071626,80,31006.801
725802,2316407,18606,782548,554713,1404414,45869,2055663,95,31006.801
395573,685978,2727,15537,145466,235909,2998,19358,62,31011.801
716309,1988041,16148,777763,499500,1155693,39737,2104520,90,31011.801
592573,1684147,15797,761005,460991,1105485,41830,1787544,88,31016.801
1500426,2620455,23795,1018341,1432639,3127603,96083,4191094,164,31016.801
894811,1612798,11708,563049,478196,719259,24620,1052698,72,31016.801
1176368,1712077,15839,908472,1020188,2011910,63401,3145946,114,31016.801
779621,2059609,17683,828919,421391,1056072,40036,2036272,69,31016.801
936338,2122208,17206,894474,507417,1160914,40976,2074526,73,31016.801
789538,2063002,14862,774393,507632,1189678,40466,2022357,102,31021.801
753708,2179223,17750,861320,495641,1260736,41529,1951053,87,31026.801
1029734,1890844,17254,899904,472940,1096441,39897,2060776,80,31026.801
896431,1924237,20347,1056283,561644,1122950,41601,2072615,85,31026.801
937408,2155603,15832,971080,651082,1320333,41676,2102337,89,31026.801
743986,1807065,18904,1059945,528491,1099055,38367,2009520,78,31026.801
2043110,6414738,29030,980799,2995957,7549613,153778,4325984,162,31026.801
820055,1941404,16725,979646,430235,1134961,37142,2080071,90,31031.801
710843,1824494,17931,915396,405550,1049154,39805,2076180,90,31031.801
1283634,2458926,19040,900910,759990,1630781,49484,2041694,97,31036.801
1040454,1520713,12972,621163,563653,779243,24284,1038488,72,31036.801
518510,1318489,10288,488117,316528,880011,36534,1929350,140,31036.801
788110,1760441,18963,935788,529158,1121102,42640,2100191,89,31036.801
896419,1122116,10662,500859,636118,745490,33981,1835611,117,31041.801
696634,2009655,14451,459905,371185,933728,26070,937010,80,31051.801
862439,1763531,13052,590153,520305,934252,27545,1097392,87,31056.801
887490,2156755,18646,945558,611223,1368316,40014,1974899,88,31056.801
910044,1896211,14609,764856,514236,1178869,40089,1974133,100,31061.801
103699,40716,486,14533,25600,6701,279,14367,31,31061.801
1270310,2544834,18669,1001307,672839,1372953,42708,2079311,101,31061.801
483314,1408473,10452,448933,363518,865622,23666,1106117,84,31061.801
899455,2399067,16824,934460,648234,1590779,44563,2041022,88,31061.801
780709,1591281,13793,515251,429228,803476,27328,1066030,84,31071.801
149779,139762,495,1968,48875,41822,346,1525,45,31076.801
1081420,1907378,14686,609189,699805,1205225,30483,1002557,83,31086.801
1283965,3140210,20184,1012024,696976,1625974,45496,2070859,88,31086.801
629584,1310688,11602,492617,320312,620544,23486,1093884,92,31086.801
654446,2478860,19452,831839,444044,1483708,46098,2029039,100,31086.801
438825,1281527,9462,434411,365559,773641,23608,1079376,84,31086.801
778433,2098955,15785,821450,551842,1418512,42405,2082064,94,31091.801
180772,106533,458,2382,71832,37460,281,4326,53,31091.801
338996,752271,2689,16906,171844,353716,5221,28809,73,31091.801
807501,2167535,19505,1038177,443524,1174951,40562,2090414,85,31091.801
565645,1933808,16401,891528,499046,1353170,41329,2025753,93,31101.801
778992,1608656,12715,541647,507831,903437,26894,1092550,81,31106.801
739744,2003065,16944,1029649,453385,1097372,38901,2088010,86,31106.801
949015,2443666,14921,527041,738417,1539573,34930,1072314,115,31106.801
303351,455024,7505,442391,267779,453001,31451,2029382,130,31111.801
986340,1475608,12085,755539,661714,1016874,38537,2067748,99,31111.801
903401,2028681,18637,850025,547604,1192167,43187,2053110,91,31116.801
1091141,1721159,16576,891848,548742,1102576,39429,2064098,90,31121.801
586815,1150928,11106,592322,726681,1333732,55825,3228615,151,31121.801
551981,1493153,13720,679907,526222,1358640,47419,2157756,123,31121.801
1026143,3096039,21833,930652,667448,1714297,46328,2040216,87,31126.801
849050,1875749,13706,623160,374935,904860,24934,1072677,78,31126.801
1051420,2443341,19947,1021829,539839,1352208,42763,2009439,87,31131.801
1509906,1974548,15518,856388,696230,1227852,44596,2095539,101,31131.801
612472,1272387,9225,487631,336385,816115,22733,1046987,89,31131.801
802296,1621220,9081,523984,562121,1011138,22607,1022465,92,31136.801
1228724,2321065,15965,606603,561458,1071768,30780,1062239,82,31136.801
814878,1359246,9662,477276,456296,788551,24851,1224550,89,31136.801
1174199,3499917,22472,1090879,814384,1850128,55766,2343697,88,31136.801
101889,0,161,396,24618,-4869,105,202,29,31136.801
132970,110093,478,15935,37829,30565,434,17634,38,31136.801
1358743,2278183,15479,808811,739392,1631032,45866,2045014,107,31146.801
777863,2168768,19835,1040413,579195,1425727,43639,2139864,91,31146.801
648002,1814343,15782,686442,420031,1138768,42837,2101202,98,31151.801
1368718,2395759,17288,906069,653611,1258772,37323,1974832,91,31161.801
653658,1696454,10764,573711,388695,887771,22577,1020530,82,31161.801
1074330,2048640,13726,569184,484733,1017191,27212,1038407,79,31166.801
1013270,2352982,16897,786611,513732,1287220,41695,2069885,96,31166.801
186553,258955,865,5182,70389,90461,1416,6794,53,31171.801
833985,2262397,18203,818473,685876,1599451,46522,1980595,99,31181.801
140761,33480,250,251,36876,5932,118,176,36,31181.801
101518,65822,242,11279,28618,18450,62,11944,39,31186.801
104312,244618,1069,4286,46336,107389,1648,7906,58,31191.801
1326796,2317999,17412,926681,660163,1211810,40242,2023344,90,31196.801
1570880,2650221,15066,534981,656668,1238819,29698,1086679,83,31196.801
116447,97019,255,16976,31014,24867,162,17003,35,31196.801
645259,1733352,15998,743748,481860,1057660,41161,2000676,90,31201.801
996551,1442015,13496,859734,496841,776950,32545,1878473,82,31201.801
679162,1800869,17511,822638,481889,1288696,43990,2086863,109,31201.801
918213,1901034,16437,871934,678790,1242407,40508,2109251,92,31201.801
964652,2117164,17860,994743,632485,1352706,42251,2160020,94,31201.801
1574774,5089463,26481,814480,1209356,3143238,65412,2109135,100,31211.801
403911,806185,10268,584555,324125,662475,29307,1673436,85,31211.801
454294,1706981,16022,697625,385278,1169153,43427,2087257,101,31216.801
1389018,4760183,25150,974820,1109929,3485070,67688,2159421,97,31216.801
574839,1654083,15543,755443,331003,960458,39590,2106905,87,31216.801
962106,2260721,18794,952622,548212,1406576,43070,2157116,97,31216.801
806995,2899113,18322,685601,643359,1847503,47141,2088882,109,31221.801
395380,1538204,14759,747995,259831,869711,36389,1984069,87,31226.801
1176366,2879005,21971,868859,700741,1501665,46447,1995215,81,31226.801
624990,1295380,6111,23688,272063,452899,8090,30629,66,31231.801
890723,2506918,17799,902239,615904,1687760,47331,2101773,91,31236.801
1275046,2877407,16607,597346,783413,1405819,31183,1081275,82,31241.801
2527288,3995171,24448,1044369,1368814,2437560,67520,3018003,126,31241.801
100685,92245,527,19770,32606,28360,759,22757,42,31246.801
1063636,2648652,22211,1193023,819287,2057224,75258,4099333,116,31251.801
1206223,2153094,16370,896656,717662,1426220,43202,1996500,95,31251.801
112492,82933,293,20065,32552,23685,203,21697,40,31256.801
1222622,2386141,20667,956053,672636,1238527,43599,2007227,86,31256.801
960953,2026417,17122,867561,651103,1331716,43895,2075830,90,31256.801
930995,2349294,18587,968076,547882,1313442,40694,2094063,89,31261.801
111415,91918,1919,108524,63947,114213,9817,633925,116,31266.801
254599,1380002,10014,425112,294900,1023593,40008,2035358,134,31266.801
819919,1571917,14578,693379,420710,758386,33392,1689364,83,31276.801
506789,1876419,17909,870959,384043,1174710,41529,2098645,86,31276.801
874609,1875406,17800,947610,445728,998591,39021,2047834,89,31276.801
410721,2076080,15655,746852,330205,1261937,38335,2025969,92,31276.801
116716,82959,609,2319,31864,21643,517,2043,38,31281.801
1508321,2619915,21550,939064,811915,1476836,50558,2132441,89,31281.801
733929,2270073,14608,586557,377379,1036257,26446,1043077,76,31286.801
890255,3295331,18115,950241,603338,2117487,46050,2097189,92,31301.801
529551,1341222,9377,568186,405899,849732,22132,1058887,121,31301.801
116697,210555,938,20560,54140,99534,2242,66185,60,31301.801
844592,2102471,15186,774758,474083,1131345,37033,2000678,86,31306.801
471341,1255248,12310,652743,392519,868904,31869,1497153,86,31306.801
459861,1720164,13489,493051,308788,879892,27217,1121709,85,31306.801
359993,526767,3047,177937,244499,383962,10548,466799,103,31306.801
957060,3101818,26976,1201267,766613,2413289,79327,3930277,109,31311.801
979657,2528007,17723,986657,496744,1227067,38798,2031454,88,31311.801
1227408,2834846,22174,991671,568929,1531231,50268,1928262,88,31316.801
1006390,2312079,17859,986129,525937,1144878,40130,2030535,82,31321.801
144319,185413,725,3286,45426,56776,831,3618,45,31321.801
576614,1682929,16087,858043,321219,964531,36455,2055839,84,31321.801
940966,1154917,10281,540514,551217,804186,22578,1065308,86,31326.801
722235,1742401,15754,819445,453647,1157865,40931,2047897,92,31326.801
489870,1577904,17467,810050,375160,1101866,43391,2051791,91,31326.801
827312,2314597,18064,841448,582732,1511086,42111,2122089,101,31326.801
693950,1757208,12492,428716,380439,841888,25926,1084849,73,31326.801
1310930,3803786,20168,677546,996570,2651015,60256,2095316,102,31336.801
1514109,2493024,18018,671537,709832,1155096,35327,1080430,81,31346.801
319633,1188809,9784,469889,251411,713517,23069,1001567,84,31346.801
118772,66501,341,11901,33179,18608,197,11702,39,31346.801
620717,1770808,12740,529238,420154,1074495,28380,1105346,83,31351.801
1015693,2066885,16945,978629,429639,1013434,37035,2022086,84,31351.801
1328722,2667230,22481,958975,765326,1368161,44546,2099803,82,31351.801
948825,2154879,11779,490317,475571,1131414,26920,1081100,96,31351.801
665103,1135677,9545,452285,464303,704951,22075,1064367,87,31356.801
843750,1678487,11221,363567,434586,827576,23551,1053551,98,31361.801
742951,1827483,18351,861951,594463,1111480,44110,2090473,95,31361.801
1610688,2202227,15422,696571,957883,1240447,30798,1054004,77,31361.801
890771,1575639,10647,578943,537562,974198,22964,1060732,82,31366.801
1226363,1964062,15721,624350,578957,1040632,26571,1115058,79,31366.801
764699,2093682,13258,530703,514018,1208860,28775,1075021,85,31371.801
842525,1369084,14404,807362,544113,1054807,39261,2072021,90,31371.801
354515,666225,9536,607233,320853,576162,31006,1945162,104,31381.801
714277,1215405,4215,21744,313907,524539,7542,39887,73,31386.801
1775588,3986672,22669,724077,1148915,2720344,57054,1221388,94,31391.801
877080,2385962,22714,1060361,567325,1388480,45117,2030847,83,31391.801
789896,1537623,15316,748078,397285,810787,38051,2005265,92,31406.801
