seq,xcol, ycol
284,0.0, 164.0
285,0.0, 0.0
286,0.0, 293.0
287,0.0, 0.0
288,0.0, 0.0
289,723.0, 0.0
290,1420.0, 0.0
291,198.0, 0.0
292,4777.0, 481.0
293,0.0, 206.0
294,4687.0, 583.0
295,921.0, 207.0
296,0.0, 0.0
297,0.0, 696.0
298,0.0, 44.0
299,715.0, 217.0
300,88.0, 0.0
301,0.0, 3683.0
302,2163.0, 509.0
303,105.0, 922.0
304,323.0, 200.0
305,0.0, 548.0
306,425.0, 2.0
307,0.0, 0.0
308,209.0, 0.0
309,862.0, 0.0
310,343.0, 258.0
311,0.0, 255.0
312,0.0, 64.0
313,469.0, 0.0
314,0.0, 0.0
315,275.0, 609.0
316,0.0, 0.0
317,0.0, 925.0
318,0.0, 231.0
319,1132.0, 661.0
320,1833.0, 0.0
321,0.0, 0.0
322,1021.0, 832.0
323,0.0, 0.0
324,0.0, 0.0
325,810.0, 0.0
326,0.0, 572.0
327,230.0, 0.0
328,0.0, 0.0
329,5637.0, 856.0
330,30.0, 11.0
331,461.0, 0.0
332,408.0, 0.0
333,174.0, 0.0
334,0.0, 0.0
335,0.0, 442.0
336,0.0, 0.0
337,2387.0, 0.0
338,0.0, 51.0
339,469.0, 122.0
340,0.0, 0.0
341,0.0, 1335.0
342,206.0, 128.0
343,0.0, 265.0
344,1356.0, 0.0
345,57.0, 0.0
346,28.0, 174.0
347,1604.0, 408.0
348,68.0, 284.0
349,555.0, 320.0
350,0.0, 0.0
351,0.0, 140.0
352,0.0, 358.0
353,222.0, 399.0
354,841.0, 0.0
355,0.0, 0.0
356,144.0, 87.0
357,0.0, 0.0
358,1335.0, 0.0
359,0.0, 0.0
360,734.0, 2044.0
361,0.0, 459.0
362,0.0, 0.0
363,0.0, 0.0
364,349.0, 627.0
365,1191.0, 400.0
366,0.0, 0.0
367,0.0, 0.0
368,0.0, 0.0
369,269.0, 435.0
370,0.0, 493.0
371,408.0, 230.0
372,0.0, 279.0
373,0.0, 355.0
374,371.0, 139.0
375,110.0, 0.0
376,0.0, 0.0
377,0.0, 147.0
378,0.0, 0.0
379,0.0, 0.0
380,205.0, 26.0
381,0.0, 0.0
382,966.0, 233.0
383,221.0, 5218.0
384,0.0, 390.0
385,0.0, 371.0
386,0.0, 0.0
387,0.0, 111.0
388,0.0, 591.0
389,142.0, 79.0
390,0.0, 0.0
391,141.0, 0.0
392,0.0, 152.0
393,1295.0, 0.0
394,0.0, 0.0
395,0.0, 0.0
396,305.0, 592.0
397,0.0, 0.0
398,0.0, 0.0
399,0.0, 2709.0
400,3982.0, 1298.0
401,0.0, 160.0
402,409.0, 0.0
403,206.0, 111.0
404,0.0, 1371.0
405,865.0, 0.0
406,0.0, 0.0
407,58.0, 4.0
408,0.0, 319.0
409,791.0, 565.0
410,0.0, 294.0
411,0.0, 411.0
412,0.0, 0.0
413,0.0, 0.0
414,0.0, 467.0
415,1590.0, 519.0
416,0.0, 59.0
417,1084.0, 0.0
418,0.0, 551.0
419,0.0, 244.0
420,0.0, 196.0
421,0.0, 8.0
422,516.0, 0.0
423,0.0, 90.0
424,225.0, 0.0
425,520.0, 231.0
426,755.0, 0.0
427,1044.0, 22.0
428,0.0, 30.0
429,0.0, 0.0
430,0.0, 954.0
431,36.0, 265.0
432,6.0, 92.0
433,519.0, 270.0
434,0.0, 0.0
435,293.0, 0.0
436,0.0, 341.0
437,1096.0, 44.0
438,542.0, 0.0
439,437.0, 160.0
440,0.0, 0.0
441,236.0, 0.0
442,708.0, 0.0
443,0.0, 154.0
444,100.0, 867.0
445,277.0, 103.0
446,368.0, 354.0
447,639.0, 0.0
448,0.0, 207.0
449,1050.0, 443.0
450,0.0, 0.0
451,0.0, 12.0
452,0.0, 343.0
453,0.0, 128.0
454,0.0, 322.0
455,93.0, 36.0
456,0.0, 429.0
457,771.0, 0.0
458,583.0, 925.0
459,0.0, 203.0
460,0.0, 0.0
461,0.0, 598.0
462,0.0, 0.0
463,335.0, 0.0
464,590.0, 0.0
465,0.0, 0.0
466,551.0, 251.0
467,2133.0, 209.0
468,1271.0, 411.0
469,0.0, 0.0
470,447.0, 212.0
471,639.0, 0.0
472,0.0, 415.0
473,244.0, 325.0
474,0.0, 0.0
475,2179.0, 1312.0
476,0.0, 0.0
477,0.0, 252.0
478,1873.0, 111.0
479,1484.0, 440.0
480,0.0, 0.0
481,383.0, 447.0
482,1032.0, 0.0
483,639.0, 339.0
484,0.0, 0.0
485,2014.0, 118.0
486,225.0, 0.0
487,0.0, 50.0
488,0.0, 228.0
489,950.0, 913.0
490,636.0, 0.0
491,0.0, 142.0
492,32.0, 885.0
493,133.0, 0.0
494,359.0, 1071.0
495,0.0, 0.0
496,56.0, 152.0
497,974.0, 71.0
498,961.0, 0.0
499,754.0, 539.0
500,0.0, 311.0
501,54.0, 0.0
502,540.0, 0.0
503,3651.0, 1463.0
504,0.0, 0.0
505,101.0, 0.0
506,1232.0, 1296.0
507,134.0, 0.0
508,0.0, 0.0
509,66.0, 237.0
510,763.0, 214.0
511,2490.0, 597.0
512,0.0, 223.0
513,0.0, 290.0
514,0.0, 1050.0
515,0.0, 0.0
516,85.0, 184.0
517,0.0, 299.0
518,779.0, 0.0
519,1596.0, 457.0
520,1578.0, 450.0
521,901.0, 245.0
522,2029.0, 0.0
523,1948.0, 104.0
524,0.0, 0.0
525,766.0, 359.0
526,100.0, 212.0
527,196.0, 68.0
528,1012.0, 0.0
529,22.0, 0.0
530,0.0, 0.0
531,190.0, 0.0
532,0.0, 0.0
533,9.0, 217.0
534,3241.0, 3924.0
535,1332.0, 467.0
536,18.0, 0.0
537,1689.0, 0.0
538,280.0, 150.0
539,0.0, 0.0
540,712.0, 0.0
541,417.0, 299.0
542,120.0, 0.0
543,0.0, 216.0
544,2028.0, 0.0
545,0.0, 753.0
546,26.0, 0.0
547,524.0, 0.0
548,396.0, 0.0
549,0.0, 466.0
550,0.0, 319.0
551,1895.0, 2604.0
552,0.0, 0.0
553,381.0, 136.0
554,0.0, 0.0
555,263.0, 219.0
556,0.0, 62.0
557,500.0, 79.0
558,3670.0, 729.0
559,82.0, 200.0
560,851.0, 142.0
561,0.0, 62.0
562,134.0, 1028.0
563,0.0, 431.0
564,0.0, 0.0
565,1100.0, 512.0
566,1375.0, 0.0
567,237.0, 99.0
568,2113.0, 3495.0
569,0.0, 253.0
570,0.0, 0.0
571,440.0, 711.0
572,1173.0, 1266.0
573,688.0, 4.0
574,847.0, 579.0
575,0.0, 0.0
576,21.0, 189.0
577,0.0, 0.0
578,0.0, 0.0
579,759.0, 0.0
580,1287.0, 877.0
581,1045.0, 191.0
582,616.0, 269.0
583,42.0, 0.0
584,0.0, 0.0
585,554.0, 34.0
586,0.0, 0.0
587,201.0, 0.0
588,507.0, 0.0
589,212.0, 0.0
590,0.0, 0.0
591,0.0, 107.0
592,80.0, 1209.0
593,0.0, 0.0
594,0.0, 0.0
595,399.0, 286.0
596,0.0, 0.0
597,0.0, 0.0
598,1287.0, 661.0
599,0.0, 188.0
600,770.0, 0.0
601,1021.0, 553.0
602,189.0, 552.0
603,646.0, 609.0
604,0.0, 198.0
605,109.0, 0.0
606,0.0, 270.0
607,0.0, 0.0
608,2317.0, 0.0
609,1781.0, 269.0
610,0.0, 0.0
611,319.0, 1494.0
612,741.0, 92.0
613,0.0, 0.0
614,0.0, 0.0
615,0.0, 0.0
616,0.0, 0.0
617,543.0, 855.0
618,237.0, 252.0
619,0.0, 46.0
620,0.0, 106.0
621,357.0, 0.0
622,0.0, 0.0
623,0.0, 46.0
624,0.0, 19.0
625,1375.0, 177.0
626,0.0, 90.0
627,1105.0, 58.0
628,1237.0, 404.0
629,0.0, 318.0
630,0.0, 251.0
631,503.0, 411.0
632,69.0, 265.0
633,0.0, 299.0
634,0.0, 0.0
635,1010.0, 306.0
636,0.0, 0.0
637,965.0, 666.0
638,0.0, 0.0
639,58.0, 0.0
640,0.0, 0.0
641,0.0, 86.0
642,363.0, 185.0
643,1801.0, 449.0
644,0.0, 1007.0
645,902.0, 76.0
646,0.0, 132.0
647,0.0, 0.0
648,0.0, 217.0
649,399.0, 33.0
650,539.0, 0.0
651,385.0, 406.0
652,482.0, 0.0
653,0.0, 0.0
654,931.0, 0.0
655,0.0, 517.0
656,0.0, 0.0
657,54.0, 0.0
658,0.0, 186.0
659,0.0, 0.0
660,504.0, 0.0
661,0.0, 178.0
662,241.0, 0.0
663,0.0, 0.0
664,0.0, 0.0
665,0.0, 0.0
666,0.0, 759.0
667,738.0, 461.0
668,1005.0, 351.0
669,145.0, 768.0
670,208.0, 1067.0
671,0.0, 0.0
672,0.0, 0.0
673,0.0, 467.0
674,893.0, 764.0
675,739.0, 133.0
676,741.0, 996.0
677,124.0, 0.0
678,249.0, 75.0
679,108.0, 0.0
680,1494.0, 380.0
681,89.0, 343.0
682,134.0, 0.0
683,0.0, 159.0
684,16914.0, 11096.0
685,104.0, 0.0
686,0.0, 107.0
687,0.0, 71.0
688,0.0, 205.0
689,1221.0, 1946.0
690,0.0, 0.0
691,0.0, 238.0
692,125.0, 0.0
693,3233.0, 1611.0
694,738.0, 0.0
695,0.0, 191.0
696,307.0, 125.0
697,360.0, 0.0
698,0.0, 0.0
699,0.0, 0.0
700,1822.0, 47.0
701,416.0, 0.0
702,451.0, 456.0
703,57.0, 351.0
704,273.0, 23.0
705,352.0, 62.0
706,0.0, 0.0
707,0.0, 0.0
708,0.0, 220.0
709,348.0, 260.0
710,0.0, 104.0
711,0.0, 202.0
712,0.0, 0.0
713,1683.0, 65.0
714,1169.0, 0.0
715,495.0, 0.0
716,0.0, 0.0
717,0.0, 276.0
718,1595.0, 372.0
719,0.0, 0.0
720,257.0, 0.0
721,181.0, 0.0
722,0.0, 68.0
723,2104.0, 0.0
724,0.0, 0.0
725,0.0, 0.0
726,631.0, 241.0
727,528.0, 0.0
728,2.0, 301.0
729,0.0, 263.0
730,626.0, 313.0
731,0.0, 0.0
732,2420.0, 1617.0
733,0.0, 295.0
