seq,xcol, ycol
279,863.0, 9.0
280,958.0, 4703.0
281,856.0, 0.0
282,717.0, 79.0
283,28709.0, 4365.0
284,618.0, 0.0
285,564.0, 281.0
286,628.0, 44.0
287,5584.0, 0.0
288,608.0, 577.0
289,30047.0, 0.0
290,503.0, 259.0
291,888.0, 418.0
292,31388.0, 311.0
293,573.0, 3377.0
294,765.0, 0.0
295,1054.0, 0.0
296,525.0, 747.0
297,945.0, 4.0
298,548.0, 121.0
299,1399.0, 0.0
300,847.0, 273.0
301,1714.0, 269.0
302,34326.0, 29.0
303,1264.0, 0.0
304,730.0, 0.0
305,590.0, 20.0
306,1102.0, 161.0
307,3341.0, 0.0
308,738.0, 195.0
309,706.0, 55.0
310,916.0, 203.0
311,593.0, 0.0
312,573.0, 736.0
313,1189.0, 637.0
314,2154.0, 213.0
315,1219.0, 0.0
316,672.0, 0.0
317,1346.0, 18.0
318,641.0, 424.0
319,569.0, 1992.0
320,800.0, 0.0
321,536.0, 0.0
322,1650.0, 3168.0
323,891.0, 400.0
324,552.0, 154.0
325,612.0, 376.0
326,36413.0, 781.0
327,60652.0, 71007.0
328,808.0, 0.0
329,2643.0, 2819.0
330,720.0, 83.0
331,1005.0, 322.0
332,26217.0, 348.0
333,4067.0, 929.0
334,672.0, 99.0
335,585.0, 0.0
336,611.0, 325.0
337,888.0, 0.0
338,19391.0, 513.0
339,732.0, 25.0
340,622.0, 242.0
341,730.0, 202.0
342,528.0, 651.0
343,653.0, 1548.0
344,3526.0, 664.0
345,830.0, 1236.0
346,582.0, 0.0
347,506.0, 339.0
348,16625.0, 0.0
349,684.0, 66.0
350,1323.0, 0.0
351,844.0, 0.0
352,720.0, 280.0
353,551.0, 0.0
354,6135.0, 0.0
355,941.0, 915.0
356,818.0, 305.0
357,17876.0, 7082.0
358,876.0, 0.0
359,522.0, 156.0
360,4966.0, 22660.0
361,726.0, 259.0
362,566.0, 0.0
363,688.0, 315.0
364,825.0, 159.0
365,548.0, 0.0
366,1769.0, 0.0
367,1119.0, 308.0
368,5388.0, 520.0
369,729.0, 0.0
370,4452.0, 0.0
371,838.0, 0.0
372,566.0, 142.0
373,701.0, 0.0
374,697.0, 69.0
375,631.0, 170.0
376,876.0, 266.0
377,477.0, 0.0
378,532.0, 311.0
379,803.0, 0.0
380,733.0, 39.0
381,786.0, 378.0
382,1701.0, 142.0
383,697.0, 1092.0
384,577.0, 0.0
385,968.0, 205.0
386,809.0, 126.0
387,684.0, 986.0
388,579.0, 0.0
389,1190.0, 207.0
390,571.0, 0.0
391,576.0, 238.0
392,650.0, 0.0
393,503.0, 6626.0
394,1431.0, 0.0
395,583.0, 0.0
396,779.0, 26.0
397,943.0, 0.0
398,639.0, 512.0
399,637.0, 464.0
400,612.0, 68.0
401,1177.0, 0.0
402,665.0, 316.0
403,555.0, 1338.0
404,1717.0, 355.0
405,566.0, 96.0
406,704.0, 0.0
407,625.0, 701.0
408,650.0, 0.0
409,1467.0, 657.0
410,4177.0, 0.0
411,1585.0, 0.0
412,687.0, 0.0
413,504.0, 184.0
414,4950.0, 608.0
415,802.0, 440.0
416,621.0, 577.0
417,846.0, 0.0
418,650.0, 69.0
419,1924.0, 4025.0
420,622.0, 143.0
421,765.0, 103.0
422,910.0, 680.0
423,941.0, 0.0
424,26152.0, 0.0
425,1227.0, 2995.0
426,701.0, 399.0
427,5193.0, 276.0
428,821.0, 0.0
429,887.0, 432.0
430,805.0, 76.0
431,666.0, 82.0
432,16345.0, 209.0
433,1317.0, 0.0
434,40600.0, 171.0
435,711.0, 53.0
436,822.0, 0.0
437,729.0, 581.0
438,4582.0, 273.0
439,552.0, 71.0
440,636.0, 0.0
441,784.0, 209.0
442,738.0, 0.0
443,15679.0, 0.0
444,490.0, 0.0
445,628.0, 0.0
446,475.0, 0.0
447,4778.0, 0.0
448,3711.0, 25783.0
449,765.0, 0.0
450,665.0, 3936.0
451,796.0, 19.0
452,628.0, 64.0
453,62912.0, 143.0
454,36627.0, 2176.0
455,4725.0, 1047.0
456,496.0, 0.0
457,493.0, 90.0
458,1044.0, 711.0
459,302256.0, 6185.0
460,911.0, 415.0
461,634.0, 0.0
462,777.0, 34.0
463,663.0, 0.0
464,752.0, 189.0
465,40154.0, 304.0
466,148533.0, 2077.0
467,897.0, 0.0
468,12096.0, 157.0
469,903.0, 59.0
470,625.0, 140.0
471,764.0, 64.0
472,1003.0, 904.0
473,18310.0, 380.0
474,814.0, 0.0
475,903.0, 39.0
476,843.0, 4484.0
477,1343.0, 0.0
478,744.0, 325.0
479,2929.0, 0.0
480,714.0, 0.0
481,579.0, 0.0
482,545.0, 0.0
483,564.0, 601.0
484,764.0, 1791.0
485,659.0, 0.0
486,552.0, 0.0
487,1191.0, 0.0
488,529.0, 53.0
489,12023.0, 0.0
490,2305.0, 0.0
491,752.0, 721.0
492,40279.0, 393.0
493,599.0, 150.0
494,596.0, 316.0
495,611.0, 304.0
496,847.0, 253.0
497,717.0, 174.0
498,906.0, 149.0
499,541.0, 0.0
500,706.0, 30.0
501,2114.0, 489.0
502,653.0, 0.0
503,647.0, 0.0
504,806.0, 492.0
505,526.0, 0.0
506,2945.0, 0.0
507,571.0, 188.0
508,656.0, 0.0
509,752.0, 1375.0
510,498.0, 503.0
511,478.0, 0.0
512,1921.0, 0.0
513,819.0, 0.0
514,6327.0, 0.0
515,2388.0, 375.0
516,621.0, 1650.0
517,548.0, 393.0
518,1250.0, 3281.0
519,828.0, 0.0
520,738.0, 0.0
521,755.0, 666.0
522,542.0, 0.0
523,585.0, 845.0
524,790.0, 227.0
525,7083.0, 163.0
526,720.0, 0.0
527,665.0, 108.0
528,1771.0, 718.0
529,656.0, 152.0
530,555.0, 51.0
531,576.0, 669.0
532,533.0, 219.0
533,1283.0, 0.0
534,668.0, 65.0
535,458.0, 143.0
536,709.0, 0.0
537,895.0, 173.0
538,650.0, 0.0
539,536.0, 1257.0
540,4051.0, 124.0
541,2294.0, 5332.0
542,822.0, 48.0
543,1107.0, 1707.0
544,541.0, 380.0
545,31032.0, 778.0
546,1250.0, 0.0
547,1105.0, 0.0
548,885.0, 216.0
549,2721.0, 5934.0
550,1053.0, 185.0
551,1275.0, 2429.0
552,12181.0, 0.0
553,535.0, 104.0
554,33092.0, 371.0
555,618.0, 159.0
556,469.0, 3277.0
557,668.0, 0.0
558,4315.0, 149.0
559,693.0, 94.0
560,1041.0, 4834.0
561,1171.0, 461.0
562,752.0, 0.0
563,560.0, 0.0
564,18688.0, 0.0
565,533.0, 33673.0
566,570.0, 0.0
567,784.0, 0.0
568,732.0, 0.0
569,1129.0, 0.0
570,494.0, 5585.0
571,784.0, 139.0
572,1142.0, 47.0
573,802.0, 1089.0
574,898.0, 354.0
575,732.0, 0.0
576,671.0, 0.0
577,1060.0, 1531.0
578,675.0, 0.0
579,650.0, 316.0
580,687.0, 2422.0
581,6428.0, 1050.0
582,6225.0, 357.0
583,567.0, 0.0
584,624.0, 1857.0
585,843.0, 0.0
586,717.0, 0.0
587,468.0, 121.0
588,5240.0, 221.0
589,523.0, 6.0
590,1671.0, 36.0
591,765.0, 0.0
592,920.0, 0.0
593,665.0, 0.0
594,612.0, 147.0
595,888.0, 373.0
596,665.0, 217.0
597,1565.0, 0.0
598,1278.0, 0.0
599,669.0, 0.0
600,506.0, 245.0
601,526.0, 0.0
602,952.0, 0.0
603,547.0, 36.0
604,582.0, 597.0
605,1209.0, 0.0
606,3243.0, 0.0
607,2445.0, 53.0
608,520.0, 18.0
609,1034.0, 13.0
610,1760.0, 145.0
611,1221.0, 89.0
612,1269.0, 0.0
613,658.0, 0.0
614,1178.0, 4975.0
615,551.0, 39.0
616,649.0, 899.0
617,1499.0, 0.0
618,739.0, 316.0
619,551.0, 563.0
620,520.0, 0.0
621,672.0, 0.0
622,658.0, 0.0
623,20332.0, 722.0
624,646.0, 143.0
625,949.0, 0.0
626,485.0, 0.0
627,1262.0, 279.0
628,742.0, 0.0
629,2032.0, 0.0
630,764.0, 0.0
631,498.0, 0.0
632,1863.0, 0.0
633,497.0, 104.0
634,566.0, 286.0
635,599.0, 97.0
636,601.0, 298.0
637,1755.0, 622.0
638,21859.0, 1840.0
639,793.0, 153.0
640,15125.0, 214.0
641,7516.0, 0.0
642,497.0, 0.0
643,1982.0, 2680.0
644,704.0, 0.0
645,587.0, 477.0
646,662.0, 219.0
647,29115.0, 807.0
648,11909.0, 0.0
649,526.0, 235.0
650,679.0, 203.0
651,748.0, 0.0
652,697.0, 361.0
653,5313.0, 219610.0
654,908.0, 0.0
655,12557.0, 0.0
656,121008.0, 971.0
657,754.0, 0.0
658,1113.0, 3369.0
659,1505.0, 0.0
660,916.0, 209.0
661,604.0, 0.0
662,564.0, 332.0
663,700.0, 0.0
664,1531.0, 534.0
665,583.0, 510.0
666,493.0, 0.0
667,668.0, 0.0
668,694.0, 1040.0
669,535.0, 0.0
670,814.0, 325.0
671,713.0, 0.0
672,4613.0, 5459.0
